pmid,title,abstract,authors,first_author_affiliation,journal,pub_date,doi,score,matched_keywords,api_keywords
39953258,DECODE-3DViz: Efficient WebGL-Based High-Fidelity Visualization of Large-Scale Images using Level of Detail and Data Chunk Streaming. ,"The DECODE-3DViz pipeline represents a major advancement in the web-based visualization of large-scale medical imaging data, particularly for peripheral artery computed tomography images. This research addresses the critical challenges of rendering high-resolution volumetric datasets via WebGL technology. By integrating progressive chunk streaming and level of detail (LOD) algorithms, DECODE-3DViz optimizes the rendering process for real-time interaction and high-fidelity visualization. The system efficiently manages WebGL texture size constraints and browser memory limitations, ensuring smooth performance even with extensive datasets. A comparative evaluation against state-of-the-art visualization tools demonstrates DECODE-3DViz's superior performance, achieving up to a 98% reduction in rendering time compared with that of competitors and maintaining a high frame rate of up to 144 FPS. Furthermore, the system exhibits exceptional GPU memory efficiency, utilizing as little as 2.6 MB on desktops, which is significantly less than the over 100 MB required by other tools. User feedback, collected through a comprehensive questionnaire, revealed high satisfaction with the tool's performance, particularly in areas such as structure definition and diagnostic capability, with an average score of 4.3 out of 5. These enhancements enable detailed and accurate visualizations of the peripheral vasculature, improving diagnostic accuracy and supporting better clinical outcomes. The DECODE-3DViz tool is open source and can be accessed at https://github.com/mohammed-abo-arab/3D_WebGL_VolumeRendering.git .",AboArab MA; Potsika VT; Skalski A; Stanuch M; Gkois G; Koncar I; Matejevic D; Theodorou A; Vagena S; Sigala F; Fotiadis DI,"Unit of Medical Technology and Intelligent Information Systems, Dept. of Materials Science and Engineering, University of Ioannina, 45110, Ioannina, Greece.",Journal of imaging informatics in medicine,2025-02-14,10.1007/s10278-025-01430-9,7.8,"visualization(title,abstract); visual(title,abstract); data(title,abstract)",
39932771,"Subtyping Social Determinants of Health in the ""All of Us"" Program: Network Analysis and Visualization Study.","<h4>Background</h4>Social determinants of health (SDoH), such as financial resources and housing stability, account for between 30% and 55% of people's health outcomes. While many studies have identified strong associations between specific SDoH and health outcomes, little is known about how SDoH co-occur to form subtypes critical for designing targeted interventions. Such analysis has only now become possible through the All of Us program.<h4>Objective</h4>This study aims to analyze the All of Us dataset for addressing two research questions: (1) What are the range of and responses to survey questions related to SDoH? and (2) How do SDoH co-occur to form subtypes, and what are their risks for adverse health outcomes?<h4>Methods</h4>For question 1, an expert panel analyzed the range of and responses to SDoH questions across 6 surveys in the full All of Us dataset (N=372,397; version 6). For question 2, due to systematic missingness and uneven granularity of questions across the surveys, we selected all participants with valid and complete SDoH data and used inverse probability weighting to adjust their imbalance in demographics. Next, an expert panel grouped the SDoH questions into SDoH factors to enable more consistent granularity. To identify the subtypes, we used bipartite modularity maximization for identifying SDoH biclusters and measured their significance and replicability. Next, we measured their association with 3 outcomes (depression, delayed medical care, and emergency room visits in the last year). Finally, the expert panel inferred the subtype labels, potential mechanisms, and targeted interventions.<h4>Results</h4>The question 1 analysis identified 110 SDoH questions across 4 surveys covering all 5 domains in Healthy People 2030. As the SDoH questions varied in granularity, they were categorized by an expert panel into 18 SDoH factors. The question 2 analysis (n=12,913; d=18) identified 4 biclusters with significant biclusteredness (Q=0.13; random-Q=0.11; z=7.5; P<.001) and significant replication (real Rand index=0.88; random Rand index=0.62; P<.001). Each subtype had significant associations with specific outcomes and had meaningful interpretations and potential targeted interventions. For example, the Socioeconomic barriers subtype included 6 SDoH factors (eg, not employed and food insecurity) and had a significantly higher odds ratio (4.2, 95% CI 3.5-5.1; P<.001) for depression when compared to other subtypes. The expert panel inferred implications of the results for designing interventions and health care policies based on SDoH subtypes.<h4>Conclusions</h4>This study identified SDoH subtypes that had statistically significant biclusteredness and replicability, each of which had significant associations with specific adverse health outcomes and with translational implications for targeted SDoH interventions and health care policies. However, the high degree of systematic missingness requires repeating the analysis as the data become more complete by using our generalizable and scalable machine learning code available on the All of Us workbench.",Bhavnani SK; Zhang W; Bao D; Raji M; Ajewole V; Hunter R; Kuo YF; Schmidt S; Pappadis MR; Smith E; Bokov A; Reistetter T; Visweswaran S; Downer B,"School of Public and Population Health, Department of Biostatistics & Data Science, University of Texas Medical Branch, Galveston, TX, United States.",Journal of medical Internet research,2025-02-11,10.2196/48775,7.5,"visualization(title); visual(title); machine learning(kw,abstract); data(abstract)",Health care; Decision Support; Health Outcomes; Clinical Implications; Social Determinants Of Health; Health Industry; Machine Learning Methods; Precision Medicine; Bipartite Networks; Financial Resources; All Of Us
39947302,Unveiling the Brain Mechanism underlying Depression: 12 Years of Insights from Bibliometric and Visualization Analysis. ,"Depression is a common but serious mental health illness affected human's physiology and psychology. In contemporary times, neurophysiological research on depression has emerged as a prominent area of investigation, yet there remains a paucity of review elucidating the central mechanisms of depression in the brain. Consequently, we undertook a bibliometric analysis and visualization assessment to underscore recent advancements in research pertaining to the neural underpinnings of depression. By employing these methods, we have collected articles spanning the period from 2013 to 2024, shedding light on the latest insights into the brain mechanisms associated with depression. Bibliometric analysis found 16327 research papers in the field of brain mechanism underlying depression, overall showing a sustained growth trend. Through meticulous analysis of collected data on institutions and countries, authors, co-cited literature, keywords, etc., this paper humbly aims to tentatively identify future research hotspots and frontiers, hoping to modestly contribute to and stimulate further scholarly progress in the field.",Wu D; Qu S; Sun H; Zhou S; Qu X; Chen Y; Hu H; Li X,"The Third Affiliated Hospital of Zhejiang Chinese Medical University (Zhongshan Hospital of Zhejiang Province), Hangzhou, Zhejiang 310053, China.",Brain research bulletin,2025-02-11,10.1016/j.brainresbull.2025.111246,7.0,"visualization(title,abstract); visual(title,abstract); data(abstract)",
39935005,Increasing COVID-19 Testing and Vaccination Uptake in the Take Care Texas Community-Based Randomized Trial: Adaptive Geospatial Analysis.,"<h4>Background</h4>Geospatial data science can be a powerful tool to aid the design, reach, efficiency, and impact of community-based intervention trials. The project titled Take Care Texas aims to develop and test an adaptive, multilevel, community-based intervention to increase COVID-19 testing and vaccination uptake among vulnerable populations in 3 Texas regions: Harris County, Cameron County, and Northeast Texas.<h4>Objective</h4>We aimed to develop a novel procedure for adaptive selections of census block groups (CBGs) to include in the community-based randomized trial for the Take Care Texas project.<h4>Methods</h4>CBG selection was conducted across 3 Texas regions over a 17-month period (May 2021 to October 2022). We developed persistent and recent COVID-19 burden metrics, using real-time SARS-CoV-2 monitoring data to capture dynamic infection patterns. To identify vulnerable populations, we also developed a CBG-level community disparity index, using 12 contextual social determinants of health (SDOH) measures from US census data. In each adaptive round, we determined the priority CBGs based on their COVID-19 burden and disparity index, ensuring geographic separation to minimize intervention ""spillover."" Community input and feedback from local partners and health workers further refined the selection. The selected CBGs were then randomized into 2 intervention arms-multilevel intervention and just-in-time adaptive intervention-and 1 control arm, using covariate adaptive randomization, at a 1:1:1 ratio. We developed interactive data dashboards, which included maps displaying the locations of selected CBGs and community-level information, to inform the selection process and guide intervention delivery. Selection and randomization occurred across 10 adaptive rounds.<h4>Results</h4>A total of 120 CBGs were selected and followed the stepped planning and interventions, with 60 in Harris County, 30 in Cameron County, and 30 in Northeast Texas counties. COVID-19 burden presented substantial temporal changes and local variations across CBGs. COVID-19 burden and community disparity exhibited some common geographical patterns but also displayed distinct variations, particularly at different time points throughout this study. This underscores the importance of incorporating both real-time monitoring data and contextual SDOH in the selection process.<h4>Conclusions</h4>The novel procedure integrated real-time monitoring data and geospatial data science to enhance the design and adaptive delivery of a community-based randomized trial. Adaptive selection effectively prioritized the most in-need communities and allowed for a rigorous evaluation of community-based interventions in a multilevel trial. This methodology has broad applicability and can be adapted to other public health intervention and prevention programs, providing a powerful tool for improving population health and addressing health disparities.",Zhang K; Hunyadi JV; de Oliveira Otto MC; Lee M; Zhang Z; Ramphul R; Yamal JM; Yaseen A; Morrison AC; Sharma S; Rahbar MH; Zhang X; Linder S; Marko D; Roy RW; Banerjee D; Guajardo E; Crum M; Reininger B; Fernandez ME; Bauer C,"Department of Biostatistics and Data Science, School of Public Health, The University of Texas Health Science Center at Houston, 1200 Pressler St., RAS-E819, Houston, TX, 77030, United States, 1 7135009581.",JMIR formative research,2025-02-11,10.2196/62802,6.0,"dashboard(kw,abstract); data(kw,abstract)",Public Health; Study Design; Social Determinants Of Health; Geospatial Analysis; Community-based Interventions; Covid-19 Testing; Data Dashboard; Covid-19 Vaccination
39954731,"Why go blind if you can see the airway?: ¿Por qué ir a ciegas, si se puede visualizar la vía aérea? ","Airway management is a critical aspect of anesthesiology, essential for ensuring patient safety during various medical interventions, including surgery, emergency care, and critical care settings. Despite advancements, difficult laryngoscopy and tracheal intubation remain significant challenges, particularly in emergency scenarios, posing risks of hypoxia, brain damage, and death. This article examines the efficacy of videolaryngoscopy (VLS) and video laryngeal mask airways (VLMA) in improving airway management outcomes compared to traditional techniques across diverse clinical environments. We conducted a comprehensive review of literature and current practices, analyzing the advantages and limitations of VLS and VLMA. The paper highlights the importance of visualization in airway management and evaluates the effectiveness of these devices in various settings. VLS and VLMA offer several benefits over traditional direct laryngoscopy, including enhanced glottic visualization, higher first-attempt success rates, reduced rates of oxygen desaturation, and fewer adverse events. These devices provide a larger angle of view and allow for real-time monitoring, improving overall patient safety. Additionally, they serve as excellent educational tools for training anesthesiologists and other healthcare providers involved in airway management. In emergency and critical care scenarios, the rapid and accurate placement of airway devices is crucial. VLS and VLMA facilitate quicker and more reliable intubation, reducing the likelihood of complications such as esophageal intubation or airway trauma. These technologies also allow for better teamwork and coordination as the airway view can be shared with the entire medical team. The adoption of VLS and VLMA as standard practice in airway management can significantly enhance visualization and success rates, reducing the risk of complications. These devices should be integrated into routine clinical use to improve patient outcomes. Further research is warranted to optimize their application and explore advancements such as artificial intelligence in airway management.",Van Zundert AAJ; Gómez-Ríos MÁ; Van Zundert TCRV,"Department of Anaesthesia and Perioperative Medicine, The Royal Brisbane and Women's Hospital and The University of Queensland, Brisbane, Queensland, Australia. Electronic address: vanzundertandre@gmail.com.",Revista espanola de anestesiologia y reanimacion,2025-02-13,10.1016/j.redare.2025.501688,5.1,"visualization(abstract); visual(title,abstract); artificial intelligence(abstract)",
39936842,The Halo Effect: Perceptions of Information Privacy Among Healthcare Chatbot Users.,"<h4>Background</h4>Patient-facing chatbots can be used for administrative tasks, personalized care reminders, and overcoming transportation or geographic barriers in healthcare. Although some data suggest older adults see privacy as an ethical barrier to adopting digital technologies, little is known about privacy concerns regarding information shared with novel patient-facing chatbots. We sought to examine attitudes toward privacy based on age or other sociodemographic characteristics.<h4>Methods</h4>We conducted a sequential mixed methods study among patient users of a large healthcare system chatbot. We purposively oversampled by race and ethnicity to survey 3089 patient chatbot users online using de novo and validated items. Next, we conducted semi-structured interviews with users (n = 46) purposively sampled based on diversity or select survey responses. We used multivariable logistic regression to analyze survey data and modified grounded theory to analyze interviews. We integrated data using simultaneous visualization and triangulation.<h4>Results</h4>We received 617/3089 surveys (response rate, 20.0%). Overall, 370/597 (63.9%) expressed worry about the privacy of information shared with the chatbot. Logistic regression found that users ≥ 65 years were 26% points less likely to be worried about information privacy compared to those 18-34 years old (p < 0.001). We found less worry among Black, non-Hispanic users and among those with more than a four-year college degree. By integrating our survey and interview data, we observed that older adult users experienced a halo effect: they worried less because they saw the chatbot as associated with a trusted health system and experienced lower medical mistrust.<h4>Conclusion</h4>Contrary to some prior research, adults aged 65 and older expressed less concern about chatbot privacy than younger adults because of their trust in health care. To maintain this trust and build it among all users, health systems using patient-facing chatbots need to take active steps to maintain and communicate patient privacy protections.",Ellis JR; Dellavalle NS; Hamer MK; Akerson M; Andazola M; Moore AA; Campbell EG; DeCamp M,"Center for Bioethics and Humanities, University of Colorado Anschutz Medical Campus, Aurora, Colorado, USA.",Journal of the American Geriatrics Society,2025-02-12,10.1111/jgs.19393,5.0,visualization(abstract); visual(abstract); artificial intelligence(kw); data(abstract),Artificial intelligence; Ethics; Privacy; Chatbot
39939843,"Haematology dimension reduction, a large scale application to regular care haematology data.","<h4>Background</h4>The routine diagnostic process increasingly entails the processing of high-volume and high-dimensional data that cannot be directly visualised. This processing may provide scaling issues that limit the implementation of these types of data into research as well as integrated diagnostics in routine care. Here, we investigate whether we can use existing dimension reduction techniques to provide visualisations and analyses for a complete bloodcount (CBC) while maintaining representativeness of the original data. We considered over 3 million CBC measurements encompassing over 70 parameters of cell frequency, size and complexity from the UMC Utrecht UPOD database. We evaluated PCA as an example of a linear dimension reduction techniques and UMAP, TriMap and PaCMAP as non-linear dimension reduction techniques. We assessed their technical performance using quality metrics for dimension reduction as well as biological representation by evaluating preservation of diurnal, age and sex patterns, cluster preservation and the identification of leukemia patients.<h4>Results</h4>We found that, for clinical hematology data, PCA performs systematically better than UMAP, TriMap and PaCMAP in representing the underlying data. Biological relevance was retained for periodicity in the data. However, we also observed a decrease in predictive performance of the reduced data for both age and sex, as well as an overestimation of clusters within the reduced data. Finally, we were able to identify the diverging patterns for leukemia patients after use of dimensionality reduction methods.<h4>Conclusions</h4>We conclude that for hematology data, the use of unsupervised dimension reduction techniques should be limited to data visualization applications, as implementing them in diagnostic pipelines may lead to decreased quality of integrated diagnostics in routine care.",Joosse HJ; Chumsaeng-Reijers C; Huisman A; Hoefer IE; van Solinge WW; Haitjema S; van Es B,"Central Diagnostic Laboratory, University Medical Center Utrecht, Heidelberglaan 100, Utrecht, 3584 CX, The Netherlands.",BMC medical informatics and decision making,2025-02-12,10.1186/s12911-025-02899-8,4.8,"visualization(abstract); visual(abstract); data(kw,title,abstract)",Clustering; Haematology; Dimension Reduction; Data Preservation; Routine Care Data
39932770,Visualizing YouTube Commenters' Conceptions of the US Health Care System: Semantic Network Analysis Method for Evidence-Based Policy Making.,"<h4>Background</h4>The challenge of extracting meaningful patterns from the overwhelming noise of social media to guide decision-makers remains largely unresolved.<h4>Objective</h4>This study aimed to evaluate the application of a semantic network method for creating an interactive visualization of social media discourse surrounding the US health care system.<h4>Methods</h4>Building upon bibliometric approaches to conducting health studies, we repurposed the VOSviewer software program to analyze 179,193 YouTube comments about the US health care system. Using the overlay-enhanced semantic network method, we mapped the contents and structure of the commentary evoked by 53 YouTube videos uploaded in 2014 to 2023 by right-wing, left-wing, and centrist media outlets. The videos included newscasts, full-length documentaries, political satire, and stand-up comedy. We analyzed term co-occurrence network clusters, contextualized with custom-built information layers called overlays, and performed tests of the semantic network's robustness, representativeness, structural relevance, semantic accuracy, and usefulness for decision support. We examined how the comments mentioning 4 health system design concepts-universal health care, Medicare for All, single payer, and socialized medicine-were distributed across the network terms.<h4>Results</h4>Grounded in the textual data, the macrolevel network representation unveiled complex discussions about illness and wellness; health services; ideology and society; the politics of health care agendas and reforms, market regulation, and health insurance; the health care workforce; dental care; and wait times. We observed thematic alignment between the network terms, extracted from YouTube comments, and the videos that elicited these comments. Discussions about illness and wellness persisted across time, as well as international comparisons of costs of ambulances, specialist care, prescriptions, and appointment wait times. The international comparisons were linked to commentaries with a higher concentration of British-spelled words, underscoring the global nature of the US health care discussion, which attracted domestic and global YouTube commenters. Shortages of nurses, nurse burnout, and their contributing factors (eg, shift work, nurse-to-patient staffing ratios, and corporate greed) were covered in comments with many likes. Comments about universal health care had much higher use of ideological terms than comments about single-payer health systems.<h4>Conclusions</h4>YouTube users addressed issues of societal and policy relevance: social determinants of health, concerns for populations considered vulnerable, health equity, racism, health care quality, and access to essential health services. Versatile and applicable to health policy studies, the method presented and evaluated in our study supports evidence-based decision-making and contextualized understanding of diverse viewpoints. Interactive visualizations can help to uncover large-scale patterns and guide strategic use of analytical resources to perform qualitative research.",Ivanitskaya LV; Erzikova E,"Health Administration, School of Health Sciences, The Herbert H. and Grace A. Dow College of Health Professions, Central Michigan University, Mount Pleasant, MI, United States.",JMIR infodemiology,2025-02-11,10.2196/58227,4.6,"visualization(abstract); visual(title,abstract); data(abstract)",Health Services; Health Insurance; Health Policy; Health Care Reform; Health System; Ideology; Vosviewer; Social Media; Health Care Workforce; Semantic Network
39929969,Standalone ultrasound-based highly visualized volumetric spine imaging for surgical navigation. ,"Current navigation systems employing intraoperative CT have been applied in spinal interventions for accurate and visualized guidance. The consequential issue of radiation doses and surgical workflow disruption spotlighted ultrasound (US) as an alternative imaging modality. However, the challenge of anatomy interpretation left US-based navigation inadequate in visualization, resulting in the necessity of registration of preoperative images. Here we report a standalone ultrasound image-guided system (SUIGS) leveraging a purpose-made network to automatically extract bone features and reconstruct them into highly visualized volumetric images for spinal navigation. We showed the SUIGS highly visualized the bone markers with an imaging accuracy of 1.19 ± 0.85 mm in scanning tests on human volunteers. Through extensive testing on data from hospitalized patients containing atypical cases (spinal deformity, obesity), we confirmed that SUIGS generalizes across different individuals with a 100% success rate in aligning with preoperative CT. Furthermore, SUIGS yielded comparable results to three-dimensional fluoroscopy guidance in intraoperative intraspinal tumor localization and reduced the procedure to 8 min. This study explored and broadened the clinical application of standalone US navigation by providing intraoperative high-visualized volumetric spinal imaging, which is expected to increase the likelihood of surgeons adopting it in practice to reduce the occurrence of wrong-site surgery.",Hu X; Liu T; Zhang Z; Xiao X; Chen L; Wei G; Wang Y; Yang K; Jin H; Zhu Y,"Department of Radiation Oncology, Second Affiliated Hospital of Zhejiang University School of Medicine, Hangzhou, China. hxbfes@zju.edu.cn.",Scientific reports,2025-02-10,10.1038/s41598-025-89440-z,4.6,"visualization(abstract); visual(title,abstract); data(abstract)",
39924571,Comparative performance of multiple ensemble learning models for preoperative prediction of tumor deposits in rectal cancer based on MR imaging.,"Ensemble learning can effectively mitigate the risk of model overfitting during training. This study aims to evaluate the performance of ensemble learning models in predicting tumor deposits in rectal cancer (RC) and identify the optimal model for preoperative clinical decision-making. A total of 199 RC patients were analyzed, with radiomic features extracted from T2-weighted and apparent diffusion coefficient images and selected through advanced statistical methods. After that, the bagging-ensemble learning model (random forest), boosting-ensemble learning model (XGBoost, AdaBoost, LightGBM, and CatBoost), and voting-ensemble learning model (integrating 5 classifiers) were applied and optimized using grid search with tenfold cross-validation. The area under the receiver operator characteristic curve, calibration curve, t-distributed stochastic neighbor embedding (t-SNE), and decision curve analysis were adopted to evaluate the performance of each model. The voting-ensemble learning model (VELM) performs best in the testing cohort, with an AUC of 0.875 and an accuracy of 0.800. Notably, Calibration plots confirmed VELM's stability and t-SNE visualization illustrated clear clustering of radiomic features. Decision curve analysis further validated the VELM's superior net benefit across a range of clinical thresholds, underscoring its potential as a reliable tool for clinical decision-making in RC.",Wang J; Hu F; Li J; Lv W; Liu Z; Wang L,"Computer Center, Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, 430030, China.",Scientific reports,2025-02-10,10.1038/s41598-025-89482-3,4.5,visualization(abstract); visual(abstract); machine learning(kw),Prediction; Rectal cancer; Machine Learning; Ensemble Learning; Radiomics
