pmid,title,abstract,authors,first_author_affiliation,journal,pub_date,doi,score,matched_keywords,api_keywords
42419466,Global scientific map of ultrasound molecular imaging research: data-driven bibliometrics and visualization depth analysis.,"<h4>Background</h4>As an emerging medical imaging technology, ultrasound molecular imaging (USMI) has made significant progress in tumor diagnosis, drug delivery, and treatment monitoring in recent years. With the deepening of research, the number of publications in this field has increased rapidly, but systematic analysis and summarization remain limited. Using data-driven bibliometric methods and visualization techniques, this study comprehensively analyzes the research trends, core academic contributions, collaboration networks, and hotspots in USMI to reveal its structural evolution and technological frontiers.<h4>Methods</h4>Publications related to ultrasound molecular imaging (USMI) published between January 2004 and July 2025 were retrieved from the Web of Science Core Collection (WoSCC). Bibliometric analyses were performed using CiteSpace 6.4.R1 to identify influential authors, institutions, and research themes, and to visualize the temporal evolution and structural characteristics of global research trends.<h4>Results</h4>A total of 296 papers from 22 countries were analyzed, showing an increasing annual publication trend since 2007. The United States, China, and Switzerland emerged as the leading contributors, while Stanford University, the Chinese Academy of Sciences, and Oregon Health & Science University were key research institutions. Current hotspots focus on probe development, microbubble-nanobubble integration, and multimodal imaging fusion. Emerging keywords such as drug delivery, targeted therapy, and AI-based imaging indicate a gradual shift from fundamental research toward clinical application. The evolution of research themes also suggests a preliminary translational pathway-from molecular probe design and preclinical validation to early clinical trials, exemplified by the VEGFR2-targeted contrast agent BR55 and PSMA-directed nanobubbles, which provide a feasible route for USMI to enter precision diagnosis and theranostics.<h4>Conclusion</h4>This study provides a global and data-driven overview of USMI research, highlighting its technological evolution and clinical potential. By linking bibliometric evidence with translational demand, the findings offer insights into how ultrasound molecular imaging may progress from laboratory innovation to clinical implementation, supporting future roadmap development for targeted imaging and precision medicine.",Zeng X; Lu H,"Department of Medical Imaging, Chongqing University of Technology Affiliated Central Hospital, Chongqing, 400054, China.","Seminars in ultrasound, CT, and MR",2026-07-08,10.1053/j.sult.2026.06.011,12.8,"visualization(kw,title,abstract); visual(kw,title,abstract); data(title,abstract)",Visualization; bibliometrics; Ultrasound Molecular Imaging; Precision Medicine; Clinical Translation; Research Hotspots
42420145,Non-Visualization of the Appendix Without Inflammatory Features on MRI Excludes Acute Appendicitis in Children and Young Adults.,"<h4>Rationale and objectives</h4>This is a single-center retrospective study to determine whether the absence of inflammatory features in the right lower quadrant excludes appendicitis in children and young adults in the context of a non-visualized appendix on MRI.<h4>Materials and methods</h4>IRB approved retrospective review of MRI appendicitis exams performed at our institution from July 2024 to July 2025. Variables collected included: a) patient demographics; b) MRI findings including the visualization of the appendix and presence of appendicitis; c) follow-up imaging within 7 days (CT, MRI, US); d) diagnosis on follow-up imaging; e) surgical diagnosis and pathology findings. Categorical variables were summarized using counts and percentages. Diagnostic performance was assessed using the Negative Predictive Value (NPV).<h4>Results</h4>A total of 1025 MRI examinations were reviewed. The appendix was not visualized in 265 (25.5%), 257/265 (97.0%) of which had no inflammatory features. Two (0.8%) cases were reported as perforated appendicitis without visible appendix. Six (2.3%) cases had inflammation present: four attributed to an alternate cause and two reported as possible appendicitis. Of the 257 cases with non-visualization of the appendix and no inflammatory findings, 253 patients had no surgery. The remaining 4 had surgical intervention for unrelated findings: two for ovarian torsion, one for intrauterine device expulsion and one for cholelithiasis. No patient was found to have appendicitis, equating to a NPV of 100% (257/257).<h4>Conclusion</h4>MRI with non-visualization of the appendix and absence of inflammatory findings can safely be managed as negative for acute appendicitis, with appropriate clinical follow-up.",Kim MGH; Trout AT; Ayyala RS,"Cincinnati Children's Hospital Medical Center Department of Radiology, USA (M.G.H.K., A.T.T., R.S.A.). Electronic address: mishka.hookim@cchmc.org.",Academic radiology,2026-07-08,10.1016/j.acra.2026.06.030,11.5,"visualization(kw,title,abstract); visual(kw,title,abstract)",Appendicitis; Magnetic Resonance Imaging; Follow-up Imaging; Inflammatory Features; Non-visualization
42429128,Construction of a Glutathione-Gated Intelligent Nanoclassifier for Spatioselective Visualization of Dual CircRNAs and Synergistic Photodynamic Therapy.,"Circular RNAs (circRNAs) are key endogenous regulators of tumorigenesis and progression, and their high interspecies diversity and strong sequence homology pose a great challenge for simultaneous, live-cell differentiation of multiple circRNA variants. Herein, we construct an intelligent nanoclassifier (DB-CHA@PAN) by assembling disulfide bond (DB)-modified catalytic hairpin assembly (CHA) probes onto programmable cruciform framework-based nanoparticles (PAN) for spatioselective visualization of dual circRNAs and synergistic photodynamic therapy. Upon entering cancer cells, GSH cleaves disulfide bonds to initiate multiple rounds of circRNAs-fueled cyclic CHA cascades, inducing spatial separation of photosensitizer (PS)/BHQ3 and Cy3/BHQ2 pairs and consequently recovery of PS photodynamic activity and Cy3 fluorescence signal. Released PS can generate abundant singlet oxygen (<sup>1</sup>O<sub>2</sub>) upon light irradiation, inducing oxidative damage and apoptosis. This intelligent nanoclassifier enables attomolar-level detection of circCDYL and circHIPK3 in vitro and simultaneous imaging of circCDYL and circHIPK3 in living cells. It can quantify circRNA levels at single-cell sensitivity, discriminate circRNAs from mismatched variants with single-base resolution, and even diagnose breast/lung cancer across entire clinical spectrum with 100% accuracy. Moreover, it can real-time track circRNAs dynamics in living cells and MCF-7 tumor-bearing nude mice, and significantly enhance therapeutic efficacy via synergistic photodynamic activation, with promising applications in clinical diagnostics and therapeutics.",Liu Q; Ma W; Wang LJ; Zhang CY,"School of Chemistry and Chemical Engineering, State Key Laboratory of Digital Medical Engineering, Southeast University, Nanjing, China.",Angewandte Chemie (International ed. in English),2026-07-10,10.1002/anie.6302768,11.5,"visualization(kw,title,abstract); visual(kw,title,abstract)",Photodynamic therapy; Circular Rna; Cancer Diagnosis And Staging; Intelligent Nanoclassifier; Spatioselective Visualization
42434882,Intelligent detection technologies for microbes and disease biomarkers.,"Microbial communities play a critical role in human health, and their metabolic activities are directly implicated in the pathogenesis and progression of various diseases. Conventional detection methods for microbes and biomarkers, however, are hampered by limitations including poor real-time performance, high invasiveness, low specificity, and limited capacity for multi-parameter parallel detection, which severely restrict their application in clinical and scientific research. In recent years, the deep integration of interdisciplinary fields such as synthetic biology, nanotechnology, optical imaging, and artificial intelligence has catalyzed the rapid development of intelligent detection technologies. These innovations provide novel solutions for achieving highly sensitive, noninvasive, real-time, and multi-modal detection of microbes and disease biomarkers. This review systematically summarizes the breakthroughs in these technologies for microbial visualization and disease biomarker tracking, with a focus on four core strategies: physical information-based sensing (e.g. photoacoustic imaging, acoustic reporter genes), specific probe labeling (fluorescent, isotopic, nanomaterial-based probes), genetically engineered biosensors, and bioluminescence imaging. Collectively, these approaches not only enable real-time <i>in vivo</i> monitoring of microbial dynamics but also hold substantial promise for biomarker detection. Finally, we discuss the pivotal challenges confronting their clinical translation, aiming to provide a valuable reference for advancing precision medicine, personalized health monitoring, and microbiome research.",Liu S; Yang Y; Pan Y; Fan J; Xu Q; Lü P,"School of Biological Science and Technology, Jiangsu University, Zhenjiang, China.",Critical reviews in microbiology,2026-07-11,10.1080/1040841x.2026.2701195,8.5,"visualization(kw,abstract); visual(kw,abstract); artificial intelligence(abstract)",Biosensors; Disease Biomarkers; Intelligent Detection; Microbial Visualization
42435278,Deep fused explainable neural architecture for the automatic recognition of therapeutic medicinal plants.,"<h4>Background</h4>Medicinal plants have been utilized for centuries for their beneficial properties and significant impact on traditional medical systems worldwide. Indian medicinal plants and their therapeutic properties have recently gained increased attention from the global healthcare community. Accurate identification and classification of medicinal plants ensure proper therapeutic applications. However, botanists manually identify these plants, which is subjective, labor-intensive, and time-consuming.<h4>Objective</h4>The main objective of this study is to develop an accurate and automated classification of these medicinal plants for diverse applications such as conservation initiatives, quality assurance, and the formulation of novel herbal treatments.<h4>Methods</h4>A Deep Fused Explainable Neural Architecture termed MedPlantNet is proposed for robust recognition of medicinal plant leaves. The deep discriminative features are extracted from the medicinal plant images using a fine-tuned Deep Convolutional Neural Network (DCNN). A customized Support Vector Machine is developed to efficiently classify these extracted deep features. To enhance model interpretability, a meta-visualization framework incorporating Grad-CAM and Occlusion Sensitivity visualization is implemented to identify the regions of the image that contribute to the classification decisions. We utilized the Mendeley benchmark Medicinal plant leaf database with 30 classes to train and evaluate the model.<h4>Results</h4>To assess the effectiveness of the proposed model, accuracy, specificity, sensitivity, and AUC are calculated. The proposed system outperforms existing state-of-the-art (SOTA) algorithms for medicinal plant classification, achieving an optimal maximum validation accuracy of 99.87% and AUC of 1. To further validate the generalizability external validation was performed on Bangladeshi medicinal plant dataset and MedLeaves dataset where the proposed model MedPlantNet attained 99.27% and 99.80% validation accuracy respectively.<h4>Conclusion</h4>MedPlantNet provides an automatic framework for medicinal plant identification based on deep feature extraction, classification and explainable visualization techniques. The results obtained indicate its potential utility in supporting biodiversity conservation, quality assurance and herbal medicine research.",Govindaraj P; Sasikaladevi N,"SASTRA University, Thanjavur, India.","Daru : journal of Faculty of Pharmacy, Tehran University of Medical Sciences",2026-07-11,10.1007/s40199-026-00624-y,8.0,"visualization(kw,abstract); visual(kw,abstract); data(abstract)",Medicinal plants; Customized Support Vector Machine; Deep Fused Explainable Neural Architecture; Meta-visualization
42424556,Health Atlas: Tutorial of a Visualization Tool and Data Resource for Place-Based Social and Structural Determinants of Health.,"<h4>Unlabelled</h4>Places have a significant impact on health. Thus, examining place-based structural and social determinants can help inform effective public health interventions. HealthAtlas.ucsf.edu provides a single online platform to explore multiple domains of place-based data. The initial California-only version of Health Atlas was launched in April 2020, and a national version was launched in October 2024. An artificial intelligence-assisted search function was integrated in January 2026. Health Atlas includes data on over 200 variables across 5 topical domains: demographics, socioeconomic, neighborhood, environment, and health and health care. The data were either (1) obtained from the American Community Survey, CDC PLACES, and other public sources or (2) obtained through collaboration with research partners. Users can visualize and aggregate data for 7 geographic levels: census tract, zip code tabulation area, county, congressional district, core-based statistical area, public use microdata area, and state. Most variables are available across all 50 states in the United States, the District of Columbia, and Puerto Rico. Users can explore Health Atlas to better understand the relationship between selected variables via maps, histograms, scatterplots, and summary plots. Users can select custom areas to suit specific needs. Customizable datasets can be downloaded for further use. Health Atlas provides freely available, user-friendly data and tools to support researchers, community organizations, government entities, and other public health professionals. We envision that Health Atlas will contribute to evidence-based, community-based initiatives; impactful health equity research; and effective public health programs.",Oh DL; Kemper-McIsaac KE; Meltzer D; Brelsford E; Taylor K; Dixit DV; Nickerson A; Desai R; Shariff-Marco S; Lyles C; Gomez S; Pletcher MJ; DeRouen MC,"Department of Epidemiology and Biostatistics, University of California, San Francisco, 550 16th St., Floor 2, San Francisco, CA, 94143, United States, 1 415-476-2300.",Journal of medical Internet research,2026-07-09,10.2196/89065,7.3,"visualization(title); visual(title,abstract); artificial intelligence(abstract); data(title,abstract)",Environment; Demography; Neighborhood characteristics; Socioeconomic Factors; Public Health; Social Environment; Social Determinants Of Health
42417273,Business intelligence in health marketing and mental health: A structural topic modeling study.,"Mental health disorders represent a major global challenge, driving demand for scalable, evidence based strategies in early diagnosis, prevention, and population surveillance. Business intelligence (BI) research in this domain remains conceptually and methodologically fragmented, impeding interdisciplinary synthesis. This study investigates: the main themes in BI applications for mental health and healthcare over the past 30 years; patterns within and across abstracts of BI relevant articles, including integration potential; and themes with the strongest citation. By doing so, we contribute to health marketing scholarship by synthesizing fragmented BI applications into a Service-Dominant Logic SDL informed, market-shaping intelligence perspective. This reframing is an interpretive synthesis: it is informed by the STM findings and developed through their integration with established health marketing theory, rather than being a direct empirical output of the topic model. Using structural topic modeling (STM) on 2,227 peer reviewed articles from the Web of Science Core Collection (1990-2025), after PRISMA based screening of 20,634 records, the analysis reveals 20 latent topics that trace the evolution of BI, data mining, and dashboard analytics in mental health. We contribute to the literature by offering a novel perspective on Business Intelligence in health marketing, showing how fragmented analytical streams can be synthesized into a Service Dominant Logic informed Mental Health Intelligence Platform under conditions of interdisciplinary fragmentation and temporal evolution Results reveal a shift from individual psychological foci toward systemic, computational approaches underpinning Mental Health Intelligence Platforms (MHIPs). This study outlines a research agenda for empirically evaluating Mental Health Intelligence Platform MHIP designs in future health marketing research.",Alsodi O; Alhur M; Grigoriou N; Mostafa MM; Ferreiro-Seoane FJ,"Business Intelligence Department, School of Business, Alzaytoonah University of Jordan, Amman, Jordan.",Health marketing quarterly,2026-07-08,10.1080/07359683.2026.2696145,6.0,"dashboard(kw,abstract); data(kw,abstract)",data mining; Mental health; Dashboards; Health Marketing; Business Intelligence
42424983,Bed occupancy forecast for decision-making during periods of high hospital pressure.,"<h4>Background</h4>Sudden increases in hospital demand can degrade healthcare services and impact local populations, and are characterised by high bed occupancy. Adaptive policies involving weekly resource and staff allocation can mitigate these effects, but selecting adaptive strategies requires forecasting tools that are seamlessly integrated within hospital decision-making processes.<h4>Objective</h4>To develop and deploy a forecasting tool predicting imminent bed capacity saturation to support short-term adaptive policies.<h4>Methods</h4>We involved two major hospitals in the healthcare system centred around Bristol (England). We used routinely collected hospital-level aggregated and environmental data to predict the risk of bed capacity saturation up to seven days ahead. Risk was defined as the probability of crossing a predefined bed occupancy threshold for individual or aggregated days, and was computed from forecast ensembles, combining bed occupancy forecasts from different statistical and machine learning base models selected via cross-validation. We explored different weighting schemes to obtain forecast ensembles. The tool was deployed in a multi-centre operational setting scheduled to update predictions on a daily basis. We devised a dashboard condensing all relevant information to efficiently communicate risk predictions to decision-makers.<h4>Results</h4>We identified hospital-specific subsets of base models for forecast ensembles. When evaluating risk prediction performance, ensembles were more reliable than individual base models. We did not find substantial performance differences between ensemble weighting schemes, hence we used a linear combination with equal weights during deployment. Feedback from senior managers suggests that our tool could help support adaptive policies.<h4>Conclusion</h4>We developed and deployed a tool to support short-term, high-level adaptive responses to impending hospital capacity saturation. The tool is efficient yet simple and will be extended to include more hospitals. This work contributes to improving data integration and analysis for efficient resource management and decision-making.",Palacios ER; Howlett N; Lo YTE; Roy S; Wood R; Smith T,"Department of Mathematical Sciences, University of Bath, Claverton Down, Bath, BA2 7AY, United Kingdom. Electronic address: erp65@bath.ac.uk.",International journal of medical informatics,2026-07-06,10.1016/j.ijmedinf.2026.106585,6.0,"dashboard(kw,abstract); machine learning(abstract); data(abstract)",Decision support system; time series; Hospital Information Systems; Ensemble Learning; Hospital Bed Capacity; Forecasting Algorithms; Dashboard Systems
42415360,"Long Distance Non-Contact Dermoscopy: Technological Foundations, Clinical Applications, and Future Directions.","Recent advances in dermoscopic imaging have expanded diagnostic capabilities beyond conventional contact devices. Non-contact modalities, including short- and long-distance dermoscopy, preserve vascular morphology, avoid compression artifacts, and enable high-fidelity evaluation of pigmentary and structural patterns across diverse anatomical sites. Improvements in optical engineering, extended depth-of-field acquisition, and artificial intelligence (AI)-enhanced reconstruction now allow non-contact systems to approach the image quality and dermoscopic feature visualization of standard dermoscopy. When integrated with high-resolution total body photography, these modalities support automated lesion mapping, longitudinal monitoring, and early detection of melanoma and other skin cancers. This review synthesizes current evidence on the technological foundations and clinical implications of non-contact dermoscopy and proposes a conceptual framework distinguishing short-distance and long-distance dermoscopic imaging modalities within digital dermatology workflows.",Ferrera N; Caño A; Campos R; Carrera C; Garcia R; González-Villà S; Hayat H; Lenoir C; Nazari S; Podlipnik S; Puig S; Quintana J; Ricart N; Roth B; Saha A; Serra L; Ventura M; Malvehy J,"Department of Dermatology, Hospital Clínic Barcelona, IDIBAPS, University of Barcelona, Barcelona, Spain.",International journal of dermatology,2026-07-07,10.1111/ijd.70560,5.5,"visualization(abstract); visual(abstract); artificial intelligence(kw,abstract)",Melanoma; Artificial intelligence; Dermoscopy; Total Body Photography; Digital Dermatology; Long‐distance Dermoscopy; Non‐contact Dermoscopy
42414487,Quantifying cortical lesions in multiple sclerosis MRI datasets using multi-contrast post-processing and deep learning.,"<h4>Background</h4>Multiple sclerosis (MS) is a chronic neurological disease affecting both white and gray matter of the central nervous system. Despite the well-established involvement of cortical lesions in MS, feasibility limitations in their visualization on typical magnetic resonance imaging (MRI) protocols prevent their evaluation in nearly all clinical trials. Recently, several post-processing methods, including synthetic contrasts and artificial intelligence (AI)-based approaches, have shown potential for enhancing cortical lesion detection on conventional MRI data. These methods have the potential to reanalyze existing clinical-trial data to answer key mechanistic questions about both MS development and about treatment effects.<h4>Methods</h4>We sought to evaluate the feasibility of combining and extending existing methods into a unified framework for analysis using the data from the large, multicenter, phase 3 ORATORIO trial (full n = 732, age=44.6 ± 8.0; development subset n = 80, age=46.6 ± 7.1). We specifically evaluated three of the most promising of them - fluid-attenuated inversion recovery squared (FLAIR<sup>2</sup>), T1/T2 ratio, and artificial intelligence-derived double inversion recovery (AI-DIR) - and introduced a new combined contrast called multi-modal cortical lesion enhanced (MMCLE). We also harnessed transformer-based semantic segmentation to improve automated detection and delineation of these lesions.<h4>Results</h4>At baseline, we detected 14.8 + /-20.72 lesions per participant, with 86.0% true positive rate and 8.4% false positive rate across subjects for blinded MMCLE, using simultaneous review of all contrasts as the reference. High reproducibility was observed across field strengths and acquisition types (ICC 88.8-92.5%).<h4>Conclusions</h4>We confirmed that cortical lesions can be clearly visualized and quantified with these methods. Using deep learning, we also confirmed that the simultaneous use of multiple contrasts improves quantification.",Dwyer MG; Bergsland N; Bartnik A; Jakimovski D; Noteboom S; Schoonheim MM; Steenwijk MD; Pei J; Clayton D; Zivadinov R,"Buffalo Neuroimaging Analysis Center, Department of Neurology, Jacobs School of Medicine and Biomedical Sciences, University at Buffalo, State University of New York, Buffalo, NY, USA. mgdwyer@buffalo.edu.",Communications medicine,2026-07-07,10.1038/s43856-026-01683-7,4.8,"visualization(abstract); visual(abstract); artificial intelligence(abstract); data(title,abstract)",
