pmid,title,abstract,authors,first_author_affiliation,journal,pub_date,doi,score,matched_keywords,api_keywords
40743475,Visualization of FDA Adverse Drug Reaction Reports: Development and Usability Study of the VisDrugs Web Server.,"<h4>Background</h4>Adverse drug reactions (ADRs) are a major concern in drug safety, and the FDA Adverse Event Reporting System (FAERS) provides valuable ADR data. However, analyzing FAERS data is complex and requires bioinformatics expertise. Despite the vast amount of ADR data available, there is a lack of user-friendly tools that enable efficient visualization and comparison of ADRs for researchers and health care professionals.<h4>Objective</h4>This study aimed to develop VisDrugs, a web-based platform that simplifies ADR visualization and comparison using FAERS data. The platform was designed to assist researchers and clinicians in assessing drug safety through interactive and interpretable graphical representations of ADR patterns.<h4>Methods</h4>FAERS data were extracted in the American Standard Code for Information Interchange (ASCII) format, covering the period from Q3 (third quarter) 2014 to Q3 2024. About 2,700,000 reports from health care professionals, where only a single drug was implicated, were aggregated and processed using R for statistical analysis and visualization. The results are presented on a web-based platform for web-based analysis. The platform generates pie charts to visualize the most frequently reported ADRs, which are represented and analyzed using preferred terms based on the Medical Dictionary for Regulatory Activities (MedDRA) and forest plots illustrating reporting odds ratios (RORs) for these ADRs.<h4>Results</h4>Using Paxlovid (COVID-19 treatment) and hydroxychloroquine (anti-malaria drug) as case studies, we benchmarked VisDrugs using reports for Paxlovid (n=16,708) and hydroxychloroquine (n=6150). Paxlovid was most frequently associated with ""COVID-19"" (ROR=47.26, 95% CI 45.22-49.40) and ""dysgeusia"" (ROR=59.65, 95% CI 55.56-64.03). Hydroxychloroquine showed strong associations with ""retinal toxicity"" (ROR=738.48, 95% CI 583.45-934.71), ""retinopathy"" (ROR=412.27, 95% CI 344.73-493.03), and ""cardiotoxicity"" (ROR=48.36, 95% CI 38.86-60.19). In subgroup analyses, female patients had significantly higher risks of retinopathy (3.24-fold) and cardiomyopathy (13.82-fold) compared to male patients, while patients aged >50 years had higher risks of retinopathy (4.20-fold) and cardiomyopathy (7.84-fold) compared to those ≤50 years. All differences were statistically significant (z test, P<.01). The majority of findings align with existing research, thereby validating the platform's utility. Clinical personnel have evaluated and refined the platform based on user feedback, confirming its efficacy in visualizing complex ADR data and identifying adverse effects across various drug subgroups.<h4>Conclusions</h4>VisDrugs is a valuable tool for ADR analysis, offering an intuitive interface for exploring FAERS data. By visualizing and comparing ADRs, it helps researchers and health care providers assess drug safety efficiently. The platform's demographic analysis features add insights into ADR variations by age and gender, supporting drug safety research. In the future, the website will include more subgroup or condition filtering options, offering personalized ADR analysis and comparison features to meet the diverse research needs of users.",Yang R; Yin N; Zhang Y; Faiola F,"State Key Laboratory of Environmental Chemistry and Ecotoxicology, Research Center for Eco-Environmental Sciences, Chinese Academy of Sciences, 18 Shuangqing Road, Haidian District, Beijing, 100085, China, 86 01062849096.",JMIR formative research,2025-07-31,10.2196/71519,14.0,"visualization(kw,title,abstract); visual(kw,title,abstract); data(kw,abstract); informatics(abstract)",Drug safety; Website; Adverse drug reactions; ADR; Data Visualization; Food And Drug Administration; Faers; Fda Adverse Event Reporting System
40747456,VetDash: a clinical dashboard for enhancing measurement-based care in veteran health.,"<h4>Objectives</h4>Measurement-based care (MBC) improves clinical decision-making but remains underutilized in the Veterans Health Administration due to barriers such as provider awareness, time constraints, and user-experience limitations. This study describes the development of the War Related Illness and Injury Study Center Veteran Dashboard (VetDash), a patient-level clinical dashboard designed to integrate the VA's <i>Collect, Share, Act</i> model into the provider workflow.<h4>Materials and methods</h4>VetDash was developed using R Shiny, utilizing data from the WRIISC Clinical Intake Packet Database. It integrates patient-reported health data and military history into a dashboard hosted on a Linux-based Shiny Server within the VA's intranet.<h4>Results</h4>VetDash includes four modules: Patient Characteristics, Patient Health Symptoms, Patient Exposures, and Patient Self-Report Measures. Providers can visualize patient-reported symptoms, military exposures, and self-report measures, and compare patients to provider-defined cohorts.<h4>Discussion and conclusion</h4>VetDash facilitates MBC integration into the clinical workflow, potentially improving personalized patient care. Future research should evaluate its impact on clinical decisions, outcomes, and explore further enhancements.",Allende S; Sullivan HS; Bayley PJ,"War Related Illness and Injury Study Center, Palo Alto VA Medical Center, Palo Alto, CA 94304-1290, United States.",JAMIA open,2025-07-31,10.1093/jamiaopen/ooaf075,8.4,"dashboard(kw,title,abstract); visual(abstract); data(abstract)",Chronic Multisymptom Illness; Dashboard; Veteran Health; Measurement-based Care; R Shiny
40747985,Using Digital Dashboards to Characterise Demographics and Service Utilisation of Multi-Tiered Outpatient Paediatric Feeding Clinics: Differentiated Care for Subtypes of Paediatric Feeding Disorder.,"<h4>Background</h4>Digital dashboards are interactive, visual displays that provide real-time identification of clinical and service performance trends. Few studies have reported their use in characterising feeding clinic care for children with paediatric feeding disorder (PFD). This study used data from a digital dashboard at a children's hospital to compare populations and service utilisation across four outpatient feeding clinics: speech pathology-only (SP-only), dietetics and speech pathology (DT-SP), occupational therapy and speech pathology (OT-SP), and dietetics, occupational therapy, and speech pathology (DT-OT-SP).<h4>Methods</h4>This single-centre, retrospective study used 2023 digital dashboard data to compare the demographics (i.e., cultural background) and service utilisation (e.g., appointment scheduling) of the four clinics.<h4>Results</h4>Data relating to 551 children were analysed. Significant differences were found between clinics for demographics, wait times, scheduling, delivery methods, attendance, and outcomes. Children referred for suspected oropharyngeal dysphagia and infants were prioritised for earlier management, whereas those requiring OT-SP intervention waited longest. Infants received the most intensive hospital-based management, whereas children with oropharyngeal dysphagia did not require long-term hospital-based follow-up. Children in DT-OT-SP were more likely to receive telehealth appointments, whilst those in OT-SP had the lowest telehealth utilisation. Children from culturally and linguistically diverse communities were more likely to attend OT-SP or DT-OT-SP. OT-SP had a higher likelihood of missed appointments and was less likely to need a review waiting list.<h4>Conclusion</h4>Findings support multi-tiered multidisciplinary feeding clinics in addressing the clinical and service needs associated with different types of PFD. Results inform future development needs of digital dashboards.",Syrmis M; Taylor O; McCoy D; Frederiksen NT; Lang A,"Speech Pathology Department, Queensland Children's Hospital (QCH), Brisbane, Australia.",Journal of paediatrics and child health,2025-08-01,10.1111/jpc.70163,8.4,"dashboard(kw,title,abstract); visual(abstract); data(abstract)",Health Services; Digital Dashboard; Model Of Care; Feeding Clinic; Paediatric Feeding Disorder
40735660,The Visualization of Nocturnal Scratching Behavior in Pediatric Atopic Dermatitis: Facilitating Shared Decision-Making and Assessing the Efficacy of Treatment.,"Itching is a subjective symptom that is especially difficult to assess in pediatric atopic dermatitis (AD) patients with chronic pruritus since early infancy. This study aimed to assess the utility of the Itch Tracker (Maruho Co. Ltd., Osaka, Japan), a smartwatch application, in visualizing nocturnal scratching and facilitating shared decision-making (SDM) in two pediatric AD cases treated with nemolizumab. Objective monitoring revealed discrepancies between self-reported itch and actual scratching behavior, leading to appropriate treatment initiation and significant improvements in scratching behavior, Eczema Area and Severity Index (EASI), and numerical rating scale (NRS) scores. These results highlight the clinical value of behavioral visualization in enhancing SDM and optimizing management in pediatric AD.",Sugiyama A; Matsuzaki H; Motomura C; Hiramoto T; Nakahara T,"Department of Allergology, National Hospital Organization Fukuoka National Hospital, Fukuoka, JPN.",Cureus,2025-07-29,10.7759/cureus.88988,6.5,"visualization(title,abstract); visual(title,abstract)",Atopic Dermatitis; Shared Decision-making; Scratching; Nemolizumab; Itch Tracker
40729703,Visualization of breast cancer using contrast-enhanced optical coherence elastography based on tissue heterogeneity.,"By mapping the mechanical properties of tissue, elastography can improve identification of breast cancer. On the macro-scale, ultrasound elastography and magnetic resonance elastography have emerged as effective clinical methods for the diagnosis of tumors. On the micro-scale, optical coherence elastography (OCE) shows promise for intraoperative tumor margin assessment during breast-conserving surgery. Whilst several OCE studies have demonstrated strong potential, the mechanical models used require the assumption of uniaxial stress throughout the sample. However, breast tissue is heterogeneous and contains compressible features (e.g., ducts and blood vessels) and collagen-rich fibrotic features (e.g., stroma). This heterogeneity can invalidate the assumption of uniaxial stress and reduce the accuracy of OCE, often making it challenging to interpret images. Here, we demonstrate a new variant of OCE based on mapping the Euler angle, i.e., the angle between the principal compression and the loading axis induced by tissue heterogeneity, which removes the assumption of uniaxial deformation. This is enabled by a hybrid three-dimensional (3-D) displacement estimation method that combines phase-sensitive detection and complex cross-correlation, providing access to the 3-D displacement and 3-D strain tensor on the micro-scale. Through experiments on phantoms, we demonstrate that an accuracy of 98.6%, a sensitivity of 0.95° (i.e., 16.58 mrad), and a spatial resolution as high as 36 μm can be achieved in Euler angle imaging. We demonstrate the potential of Euler angle imaging for visualization of breast cancer. Through close correspondence with histology, our results show that mapping the Euler angle provides additional contrast to both optical coherence tomography and a compression OCE technique in identifying cancer. Mapping the Euler angle in breast tissue may provide a new biomarker for intraoperative tumor margin assessment.",Li J; Foo KY; Sanderson RW; Zilkens R; Hardie M; Gale L; Yeow YL; Green C; Abdul-Aziz F; Hamzah J; Stephenson J; Tayaran A; Fernandez JC; Jackson L; Chin SL; Hamza S; Rijhumal A; Saunders CM; Kennedy BF,,IEEE transactions on medical imaging,2025-07-29,10.1109/tmi.2025.3593507,6.5,"visualization(title,abstract); visual(title,abstract)",
40718979,Application of monoclonal antibodies in diabetes: A bibliometric analysis from 2004-2024.,"Monoclonal antibodies (mAbs) have shown significant promise in diabetes treatment through immunobiological mechanisms. To comprehensively understand the current development status and future trends of this research field, this study used bibliometric methods to retrieve literature data from the Web of Science Core Collection database from 2004 to 2024 and conducted a comprehensive analysis using R software and VOSviewer. A total of 900 papers were published by 4,678 authors from 56 countries, with global publication volume and average citation frequency peaking in 2019, after which the field entered a stable development phase. The United States emerged as the leading contributor in terms of total publications, citations, and national collaborations. The journal <i>Diabetes</i> had the highest publication output. Herold KC from Yale University ranked highest in publication count, citation frequency, and Hirsch index. Four key research focuses were identified in T1D: the multifaceted roles of mAbs in clinical trials (a hot mature topic), developing therapeutic targets through animal models (a centralized, declining topic), inducing immune tolerance in transplantation using mAbs (a mature, declining topic), and assessing the safety, risk, and efficacy of mAbs in diabetes treatment (a niche and well-developed topic). Substantial clinical progress has already been achieved with mAbs targeting autoimmune destruction in T1D, while therapeutic strategies for metabolic dysregulation in T2D are primarily in the preclinical stage yet show promising potential. Advancing combination therapies, personalizing treatments, and enhancing mechanistic research will improve the safety and efficacy of mAbs in diabetes management, providing valuable insights for future research in this field.",Wei R; Jia B; Zheng S; Zhang X; Wang M; Sun N; Zhang R; Li Q,"Xiyuan Hospital, China Academy of Chinese Medical Sciences, Beijing, China.",Human vaccines & immunotherapeutics,2025-07-28,10.1080/21645515.2025.2536910,5.5,visualization(kw); visual(kw); data(abstract),Monoclonal antibodies; Diabetes; Visualization; Research Focus; Bibliometric
40739733,"A DNAzyme-Based Nanoprobe for ""Visual"" Decorporation of Uranyl In Vivo.","Uranium poses severe health risks due to its chemo- and radiotoxicities, particularly during nuclear accidents. Despite recent advances in uranyl decorporation agents, clinically effective agents remain scarce. The optimization of uranium decorporation agents is severely impeded partially because the current assessment methods are complicated and time-consuming, which often results in delayed feedback. Real-time, visualized monitoring techniques are critically needed to advance chelation therapy. Here, we strategically developed a uranyl-specific DNAzyme-based ""turn-on"" nanoprobe for visualizing uranium decorporation in vivo. The probe features a fluorophore and its quencher attached to different DNAzyme ends, which separate upon uranyl-induced selective cleavage, resulting in the recovery of the fluorescence emission intensity. In uranium-exposed mice, the nanoprobe detected the deposited uranyl in kidneys with 1.8-fold enhanced emission intensity versus that of controls, demonstrating excellent in vivo imaging capability. Importantly, the probe successfully distinguished uranyl content differences in contaminated mice treated with or without the decorporation agent, providing a rapid evaluation of treatment efficiency. These findings establish DNAzyme@QDots as an effective biological probe for real-time visualization of uranyl decorporation and signify its future application in nuclear emergency response.",Sun Q; Wang Q; Hong R; Wang M; Lv M; Gu T; Yang Y; Chen L; Lu S; Liu W; Wang X; Chai Z; Wang S; Diwu J,"State Key Laboratory of Radiation Medicine and Protection, School for Radiological and Interdisciplinary Sciences (RAD-X) and Collaborative Innovation Center of Radiation Medicine of Jiangsu Higher Education Institutions, Soochow University, Suzhou 215123, China.",ACS applied materials & interfaces,2025-07-30,10.1021/acsami.5c08352,4.1,"visualization(abstract); visual(title,abstract)",fluorescence detection; In Vivo Imaging; Decorporation; Uranyl; Dnazymes-based Nanoprobe
40737523,Clinician Perspectives of a Magnetic Resonance Imaging-Based 3D Volumetric Analysis Tool for Neurofibromatosis Type 2-Related Schwannomatosis: Qualitative Pilot Study.,"<h4>Background</h4>Accurate monitoring of tumor progression is crucial for optimizing outcomes in neurofibromatosis type 2-related schwannomatosis. Standard 2D linear analysis on magnetic resonance imaging is less accurate than 3D volumetric analysis, but since 3D volumetric analysis is time-consuming, it is not widely used. To shorten the time required for 3D volumetric analysis, our lab has been developing an automated artificial intelligence-driven 3D volumetric tool.<h4>Objective</h4>The objective of the study was to survey and interview clinicians treating neurofibromatosis type 2-related schwannomatosis to understand their views on current 2D analysis and to gather insights for the design of an artificial intelligence-driven 3D volumetric analysis tool.<h4>Methods</h4>Interviews examined for the following themes: (1) shortcomings of the currently used linear analysis, (2) utility of 3D visualizations, (3) features of an interactive 3D modeling software, and (4) lack of a gold standard to assess the accuracy of 3D volumetric analysis. A Likert scale questionnaire was used to survey clinicians' levels of agreement with 25 statements related to 2D and 3D tumor analyses.<h4>Results</h4>A total of 14 clinicians completed a survey, and 12 clinicians were interviewed. Specialties ranged across neurosurgery, neuroradiology, neurology, oncology, and pediatrics. Overall, clinicians expressed concerns with current linear techniques, with clinicians agreeing that linear measurements can be variable with the possibility of two different clinicians calculating 2 different tumor sizes (mean 4.64, SD 0.49) and that volumetric measurements would be more helpful for determining clearer thresholds of tumor growth (mean 4.50, SD 0.52). For statements discussing the capabilities of a 3D volumetric analysis and visualization software, clinicians expressed strong interest in being able to visualize tumors with respect to critical brain structures (mean 4.36, SD 0.74) and in forecasting tumor growth (mean 4.77, SD 0.44).<h4>Conclusions</h4>Clinicians were overall in favor of the adoption of 3D volumetric analysis techniques for measuring vestibular schwannoma tumors but expressed concerns regarding the novelty and inexperience surrounding these techniques. However, clinicians felt that the ability to visualize tumors with reference to critical structures, to overlay structures, to interact with 3D models, and to visualize areas of slow versus rapid growth in 3D would be valuable contributions to clinical practice. Overall, clinicians provided valuable insights for designing a 3D volumetric analysis tool for vestibular schwannoma tumor growth. These findings may also apply to other central nervous system tumors, offering broader utility in tumor growth assessments.",Desroches ST; Huang A; Ghankot R; Tommasini SM; Wiznia DH; Buono FD,"Department of Orthopaedics and Rehabilitation, Yale School of Medicine, New Haven, CT, United States.",JMIR human factors,2025-07-30,10.2196/71728,3.5,visualization(abstract); visual(abstract); artificial intelligence(abstract),Magnetic Resonance Imaging; Vestibular Schwannoma; Neurofibromatosis Type 2; 3D Volumetric Analysis
40739049,The impact of intraoperative pericardial three-dimensional echocardiography for the atrioventricular valve repair in pediatric patients of congenital heart disease.,"<h4>Purpose</h4>We performed intraoperative pericardial three-dimensional echocardiography (IP3DE) for atrioventricular valve (AVV) repair in patients with congenital heart disease. In this study, we retrospectively reviewed the surgical cases of AVV repair and assessed the impact of IP3DE.<h4>Methods</h4>We reviewed the medical records of patients who underwent AVV repair at Nagano Children's Hospital. Patients were divided into two groups, the IP3DE group and the control group, which underwent two-dimensional transesophageal or transthoracic echocardiography. Clinical data, including the grade of regurgitation and re-intervention, were compared between the two groups.<h4>Results</h4>Forty-six patients in the IP3DE group and 35 in the control group were included. The preoperative median grade was 3 (maximum 2-minimum 4) and 3 (2-4) in the IP3DE and control groups, respectively. After surgery, median grade was decreased to 1 (1-4) and 2 (1-4) in the IP3DE and control groups, respectively. 80% and 54% of patients showed successful outcome (grade ≤ 2 after repair) in the IP3DE and control groups, respectively, which demonstrated that IP3DE contributed significantly to successful outcome (p < 0.05).<h4>Conclusions</h4>This study demonstrated, for the first time, the effectiveness of IP3DE in AVV repair in pediatric patients. IP3DE allows the visualization of clear 3D images and easy information sharing among cardiac vascular surgeons.",Yonehara K; Takigiku K; Numata R; Shibuya Y; Obinata H; Akazawa Y; Takei K,"Department of Pediatric Cardiology, Nagano Children's Hospital, Azumino, Nagano, 399-8288, Japan. kosuke-yonehara@nkodomo-hsp.jp.",Journal of echocardiography,2025-07-30,10.1007/s12574-025-00697-9,3.0,visualization(abstract); visual(abstract); data(abstract),Congenital heart disease; Atrioventricular Valve Regurgitation; Intraoperative Echocardiography; Three; Dimensional Echocardiography; Pericardial Echocardiography
40721771,CVT-HNet: a fusion model for recognizing perianal fistulizing Crohn's disease based on CNN and ViT.,"<h4>Background</h4>Accurate identification of anal fistulas is essential, as it directly impacts the severity of subsequent perianal infections, prognostic indicators, and overall treatment outcomes. Traditional manual recognition methods are inefficient. In response, computer vision methods have been adopted to improve efficiency. Convolutional neural networks(CNNs) are the main basis for detecting anal fistulas in current computer vision techniques. However, these methods often struggle to capture long-range dependencies effectively, which results in inadequate handling of images of anal fistulas.<h4>Methods</h4>This study proposes a new fusion model, CVT-HNet, that integrates MobileNet with vision transformer technology. This design utilizes CNNs to extract local features and Transformers to capture long-range dependencies. In addition, the MobileNetV2 with Coordinate Attention mechanism and encoder modules are optimized to improve the precision of detecting anal fistulas.<h4>Results</h4>Comparative experimental results show that CVT-HNet achieves an accuracy of 80.66% with significant robustness. It surpasses both pure Transformer architecture models and other fusion networks. Internal validation results demonstrate the reliability and consistency of CVT-HNet. External validation demonstrates that our model exhibits commendable transportability and generalizability. In visualization analysis, CVT-HNet exhibits a more concentrated focus on the region of interest in images of anal fistulas. Furthermore, the contribution of each CVT-HNet component module is evaluated by ablation experiments.<h4>Conclusion</h4>The experimental results highlight the superior performance and practicality of CVT-HNet in detecting anal fistulas. By combining local and global information, CVT-HNet demonstrates strong performance. The model not only achieves high accuracy and robustness but also exhibits strong generalizability. This makes it suitable for real-world applications where variability in data is common.These findings emphasize its effectiveness in clinical contexts.",Li L; Wang Z; Wang C; Chen T; Deng K; Wei H; Wang D; Li J; Zhang H,"College of Physics and Information Engineering, Fuzhou University, Fuzhou, 350108, China.",BMC medical imaging,2025-07-28,10.1186/s12880-025-01833-8,3.0,visualization(abstract); visual(abstract); data(abstract),MRI; Image Classification; Convolutional Neural Network; Perianal Fistulizing Crohn’s Disease; Vision Transformer
