pmid,title,abstract,authors,first_author_affiliation,journal,pub_date,doi,score,matched_keywords,api_keywords
42563520,Machine learning-assisted prediction of 5-year mortality in chronic kidney disease: the KoreaN cohort study for Outcome in patients With Chronic Kidney Disease (KNOW-CKD).,"<h4>Background</h4>Mortality prediction models for patients with non-dialysis chronic kidney disease (CKD) remain limited despite their clinical importance. While machine learning (ML) offers the potential to improve prediction accuracy, its ""black-box"" nature has hindered clinical adoption. This study aimed to develop and validate an interpretable ML model for predicting 5-year all-cause mortality in patients with non-dialysis CKD and to deploy it as a user-friendly web-based risk stratification tool.<h4>Methods</h4>We analyzed 1,858 patients (94 deaths) from a prospective cohort of non-dialysis CKD patients. Several ML algorithms including CatBoost were trained and compared with conventional logistic regression. SHapley Additive exPlanations (SHAP) analysis was employed to identify key prognostic features and ensure model interpretability. The final simplified model was externally validated in an independent cohort of 348 CKD patients.<h4>Results</h4>The CatBoost model demonstrated superior performance (area under the curve [AUC], 0.813; 95% confidence interval [CI], 0.737-0.888; p = 0.04) compared to logistic regression (AUC, 0.747; 95% CI, 0.655-0.840). A simplified model using only the top-5 SHAP-ranked features-age, estimated glomerular filtration rate, serum albumin, spot urine protein-to-creatinine ratio, and serum total calcium-maintained robust predictive accuracy in the external validation cohort (AUC, 0.795). Notably, SHAP visualization revealed a U-shaped relationship for serum calcium, identifying hypocalcemia as a significant and under-recognized mortality risk factor.<h4>Conclusion</h4>The CatBoost-based ML model accurately predicts 5-year mortality in non-dialysis CKD patients using five readily available clinical parameters. We expect that the clinical implementation of this model may offer a practical method for early risk stratification and personalized management.",Suh SH; Choi HS; Kim CS; Lee S; Bae EH; Ma SK; Park SK; Oh KH; Kim SW; ,"Department of Internal Medicine, Chonnam National University Medical School, Gwangju, Republic of Korea.",Kidney research and clinical practice,2026-08-07,10.23876/j.krcp.25.471,9.1,"visualization(abstract); visual(abstract); artificial intelligence(kw); machine learning(kw,title,abstract)",Artificial intelligence; Mortality; Prognosis; risk assessment; Machine Learning; Chronic Renal Insufficiency
42557423,Global research trends in robot-assisted vitreoretinal surgery: a visualized bibliometric analysis.,"Robot-assisted vitreoretinal surgery is a precision-oriented approach for technically demanding retinal procedures, but its structure and clinical maturity remain incompletely defined. We mapped the global development of this field using bibliometric and visualization methods. Records indexed in the Science Citation Index Expanded of the Web of Science Core Collection were retrieved on May 1, 2026. Bibliometrix in R, CiteSpace, and SCImago Graphica were used to analyze publication output, collaboration networks, citation patterns, journal distribution, and keyword evolution. The final dataset comprised 129 records published from 2008 to May 2026, including 110 original articles and 19 reviews. Full-text review identified 98 original articles with substantive empirical evaluations: 53 technical/simulation studies, 35 preclinical studies, and 10 human clinical studies. Publication output remained low before 2017 but increased thereafter. The United States and China contributed the largest numbers of publications, Johns Hopkins University was the most productive institution, and several authors showed similarly high outputs. Journal and reference analyses revealed an interdisciplinary clinical-engineering knowledge base spanning ophthalmology, medical robotics, imaging, motion control, and computer-assisted intervention. Keyword analyses showed increasing attention to subretinal injection, optical coherence tomography-guided intervention, artificial intelligence, and computer vision. The predominance of technical/simulation and preclinical evaluations suggests that publication growth has outpaced the accumulation of human clinical evidence. Robot-assisted vitreoretinal surgery is therefore better positioned as a selective precision platform for high-demand retinal interventions than as a universal replacement for manual surgery. Future research should prioritize multicenter validation, clinically relevant outcomes, workflow integration, training, and cost-effectiveness.",Wang J; Duan H; Liang L,"Department of Ophthalmology, Lanzhou First People's Hospital, Lanzhou, Gansu, China.",Journal of robotic surgery,2026-08-06,10.1007/s11701-026-03770-2,7.6,"visualization(abstract); visual(title,abstract); artificial intelligence(kw,abstract); data(abstract)",Artificial intelligence; Science Mapping; optical coherence tomography; Subretinal Injection; Retinal Microsurgery; Robot-assisted Vitreoretinal Surgery
42547627,Near-infrared fluorescence imaging improves biliary visualization and perioperative outcomes in difficult laparoscopic cholecystectomy: implications for future clinical studies.,"<h4>Background and aims</h4>Unclear biliary anatomy is a major contributor to surgical difficulty in laparoscopic cholecystectomy (LC). Near-infrared fluorescence (NIRF) imaging with indocyanine green (ICG) enables real-time visualization of biliary structures; however, its clinical value in difficult LC remains to be fully established. This study aimed to evaluate the impact of NIRF imaging on biliary visualization and surgical outcomes in difficult LC.<h4>Methods</h4>A total of 274 patients undergoing difficult LC were retrospectively analyzed (112 ICG, 162 white light [WL]). Perioperative outcomes and intraoperative biliary visualization were compared.<h4>Results</h4>Despite higher surgical difficulty scores in the ICG group (6.0 vs 5.0, P = 0.008), operative time (60.0 vs 75.0 min, P = 0.005) and blood loss (7.5 vs 10.0 ml, P < 0.001) were markedly reduced compared to WL. NIRF markedly improved visualization rates of the common hepatic duct (80% vs 57%, P = 0.010) and cystic duct-common bile duct junction (92% vs 67%, P = 0.003), and shortened visualization times for the cystic duct (1.0 vs 6.0 min, P < 0.001), common hepatic duct (4.5 vs 8.0 min, P = 0.012), and duct junction (4.0 vs 8.5 min, P < 0.001). The benefit of NIRF became more pronounced with the increase of surgical difficulty, while it maintained stable and shorter visualization time compared to WL.<h4>Conclusions</h4>NIRF imaging significantly improves real-time identification of key biliary structures, thus reducing intraoperative blood loss and operation time in difficult LC, even in very difficult cases. The performance of NIRF imaging remains stable across increasing surgical difficulty. These findings are hypothesis-generating and provide quantitative intraoperative data to support the ongoing prospective clinical trial (ChiCTR2400088163).",Zhang L; Li P; Chen J; Huang J; Liang M; He J; Liu X; Zheng Z; Hong X; Zhu G; Li J; Cai C; Zou B,"Department of Hepatobiliary Surgery and Liver Transplantation, The Fifth Affiliated Hospital of Sun Yat-sen University, 52 Mei Hua East Road, Zhuhai, 519000, China.",Surgical endoscopy,2026-08-03,10.1007/s00464-026-13233-2,7.0,"visualization(title,abstract); visual(title,abstract); data(abstract)",Indocyanine green; Laparoscopic Cholecystectomy; Near-infrared Fluorescence; Difficult Gallbladder
42564507,Predicting Step 2 CK Performance Using Automated Feature Selection and Nested Cross-Validation.,"<h4>Background</h4>Given the recent transition of the USMLE Step 1 exam to a pass/fail system, evaluative emphasis is expected to shift toward the USMLE Step 2 Clinical Knowledge (USMLE-CK) exam, prompting the need for advanced predictive models. In this study, we proposed a multiple linear regression approach incorporating automated feature selection to predict students' performance on the USMLE-CK exam.<h4>Methods</h4>Our methodology integrated feature selection and model validation processes within a nested cross-validation (CV) framework to predict USMLE-CK scores. We conducted our analysis on data from four undergraduate medical student cohorts (Classes 2020 to 2023 inclusive, n = 117). A range of performance data was included for feature selection, including internal assessment data and National Board Medical Examination (NBME) <i>Clinical Science Subject Exams</i> scores. Utilizing nested CV, we constructed and assessed multiple regression models using four model evaluation metrics: mean CV error, adjusted-R<sup>2</sup>, Mallows' Cp, and Bayesian Information Criteria.<h4>Results</h4>This led to the selection of a four-predictor model (adjusted-R<sup>2</sup> = 0.68). This model incorporated a combination of NBME exams (Medicine, Neurology and Surgery) and performance in a pre-clinical unit (Gastrointestinal).<h4>Conclusion</h4>Our approach effectively streamlined the process of building a predictive model by merging feature selection with model validation. By creating an interactive, user-friendly dashboard, we empower medical educators to predict students' USMLE-CK performance. This modeling and deployment approach holds promise for predicting student performances in other assessments.",Healy PM; Latifi S,"Office of Evaluation, Assessment and Student Informatics, Division of Medical Education, Weill Cornell Medicine - Qatar, Doha, Qatar.",Journal of medical education and curricular development,2026-08-05,10.1177/23821205261474043,7.0,"dashboard(kw,abstract); machine learning(kw); data(abstract)",Predictive model; Machine Learning; Nested Cross-validation; Interactive Dashboard; Usmle Step 2 Ck
42563416,A 3D model of human hand anatomy using contrast imaging and muscle architecture visualization.,"Diffusible iodine-based contrast-enhanced microCT (DiceCT) enables three-dimensional visualization of mineralized and soft tissues while preserving their spatial relationships in situ. We present a DiceCT-based digital atlas of a human hand from a consented female donor through the University of Missouri Gift of Body program, scanned at 48.8 μm resolution following Lugol's iodine staining. Bones, tendons, intrinsic muscles, neurovascular structures, the flexor retinaculum and carpal tunnel, and dorsal digital expansions were manually segmented to generate labeled multiplanar sections and three-dimensional reconstructions. The dataset resolves epidermal ridge detail on the palmar surface while capturing structures, including the carpal tunnel contents, extensor mechanism, neurovasculature, palmar fat pads, and metacarpophalangeal sesamoids. Reconstructions demonstrate relevant relationships among the median nerve, flexor tendons, and flexor retinaculum, the ulnar nerve within Guyon's canal and the radial artery within the anatomical snuffbox. Distal digital arterial anastomoses are visible near the terminal tufts, and radial artery branches supplying the dorsal and distal scaphoid poles provide context for scaphoid vascular vulnerability. Muscle volumes and physiological cross-sectional areas were calculated using all fascicles within each intrinsic muscle. Flexor pollicis brevis and adductor pollicis exhibited comparatively large relative physiological cross-sectional areas, whereas the lumbricals had the smallest values, consistent with previous architectural estimates. By documenting whole-hand anatomy and within-individual muscle architecture non-destructively, this atlas provides a high-fidelity resource for anatomical education, documentation of anatomical variation, clinical interpretation, and generation of anatomically consistent biomechanical models. These results support DiceCT as a platform bridging anatomical research, clinical translation, and pedagogical access to donor-specific human anatomy.",Steer NG; Sullivan SP; Fields MG; Mackereth E; Lagorio AD; Cranor C; Middleton KM; McGechie FR; Ward CV; Holliday CM,"Department of Pathology and Anatomical Sciences, University of Missouri, Columbia, Missouri, USA.","Anatomical record (Hoboken, N.J. : 2007)",2026-08-06,10.1002/ar.70304,7.0,"visualization(title,abstract); visual(title,abstract); data(abstract)",muscle architecture; Digital anatomy; Anatomical Education; Human Hand; Dicect
42553006,Experts' Opinion on Strategic Public Health CBRN Emergency Management Using Artificial Intelligence in the Middle East and North Africa Region.,"Chemical, biological, radiological, and nuclear (CBRN) incidents present escalating risks across the Middle East and North Africa (MENA) amid geopolitical instability, cross-border threats, and evolving non-state actor capabilities. This policy analysis examines why prevailing case-level and ministry-siloed governance is insufficient for population-level CBRN readiness, weighs alternative coordination models, and outlines an artificial intelligence (AI)-enabled, centrally coordinated public-health strategy adapted to the region's heterogeneity and resource constraints. We propose a National Emergency Management Advisory Council to provide statutory inter-ministerial authority and stewardship for a National CBRN Dashboard that delivers decision support, inventory tracking, simulation, and rapid triage. We situate this within existing backgrounds and analyze legal authority, financing, data governance, and feasibility in low-resource settings. While prototype AI models report high accuracy for antidote optimization, agent classification, and triage, we argue these metrics reflect controlled research, not operational readiness, and require external validation, robustness testing, and cybersecurity safeguards. A phased, evidence-graded roadmap is proposed to move MENA CBRN management from reactive to predictive and adaptive models.",Farhat H; Tin D; Shin H; Al-Ali SF; Mochrie D; Morris B; Ciottone G,"Major Incident Preparedness and Resilience & Ambulance Service Group, Hamad Medical Corporation, Doha, Qatar.",Disaster medicine and public health preparedness,2026-08-05,10.1017/dmp.2026.10420,6.6,"dashboard(abstract); artificial intelligence(kw,title,abstract); data(abstract)",Artificial intelligence; Cbrn; Preparedness; Mena; Public Health Strategies
42553720,Validating medical digital twins for clinical decision support: beyond predictive accuracy.,"<h4>Objective</h4>To clarify how validation requirements should be specified for medical digital twins used in clinical decision support, particularly when such systems are intended to compare interventions, treatment timings, dosages, or sequential care strategies.<h4>Perspective</h4>Medical digital twins are heterogeneous systems that may combine prediction, simulation, mechanistic modeling, machine learning, data assimilation, uncertainty quantification, and decision-support functions. Their evaluation should therefore be driven by their intended use rather than by a single definition of what a digital twin is. For digital twins used primarily for visualization, monitoring, or short-term forecasting, predictive accuracy, calibration, discrimination, and robustness may be the central validation targets. However, when digital twins are used to support intervention-oriented clinical decisions, retrospective accuracy under historical clinical practice is insufficient on its own.<h4>Key message</h4>Intervention-oriented digital twins address action-conditioned questions: what is predicted to happen under specified alternative actions, assumptions, time horizons, and clinical contexts. Their validation should therefore extend beyond scalar performance metrics to include uncertainty representation, updating stability, robustness under regime change, action-regime validity, counterfactual consistency, clinically weighted error, and decision-level consequences. This requires drawing on established traditions in forecast verification, causal inference, uncertainty quantification, model verification and validation, decision theory, control theory, and post-deployment monitoring. The level of causal or mechanistic support required should match the clinical claim being made, whether at the genotype, phenotype, physiological, or care-process level.<h4>Conclusion</h4>The scientific-instrument framing is proposed as a pragmatic validation lens for intervention-oriented digital twins, not as a universal definition of digital twins. It helps define the scope within which their outputs can support clinical reasoning. Medical digital twins should be accompanied by explicit validation statements specifying their target population, prediction horizon, supported interventions, uncertainty bounds, and known failure conditions.",Vallée A,"Department of Epidemiology and Public Health, Foch Hospital, Suresnes 92150, France.",JAMIA open,2026-08-04,10.1093/jamiaopen/ooag160,6.6,"visualization(abstract); visual(abstract); machine learning(abstract); clinical decision support(title,abstract); data(abstract)",Uncertainty; Validation; Epistemology; Dynamical Systems; Counterfactuals; Causal Inference; Precision Medicine; Regulatory Science; Falsifiability; Digital Twin
42566083,"Intracorporeal urinary diversion during robot-assisted radical cystectomy: a bibliometric and visualization analysis of research evolution, evidence landscape, learning curves, and clinical outcomes.","Intracorporeal urinary diversion (ICUD) represents an important technical milestone in the transition of robot-assisted radical cystectomy (RARC) toward a completely minimally invasive surgical pathway. However, the evolution of research activity, collaborative structure, and emerging themes within this area has not yet been fully delineated. Therefore, the present study aimed to map the knowledge landscape of ICUD during RARC. Relevant publications were identified from the Web of Science Core Collection, with all available editions selected, and the search was conducted on July 1, 2026. English-language Articles and Reviews officially published between 2010 and 2025 were independently screened to determine their thematic eligibility. Sensitivity analyses were conducted using an abbreviation-free search strategy and more restrictive visualization thresholds. Bibliometrix, VOSviewer, CiteSpace, and SCImago Graphica were used to characterize publication patterns, national and institutional contributions, author and journal profiles, influential references, and temporal changes in keyword-based research themes. Overall, 250 records were included in the final analysis, including 212 Articles and 38 Review Articles. The annual number of publications showed a general upward trend, rising from 2 publications in 2010 to 34 publications in 2025, with a peak of 36 in 2021. The United States maintained the leading cumulative publication trajectory and received the highest total citation count (2,139). Karolinska Institutet was the most productive institution (43 publications), Giuseppe Simone ranked as the leading author in terms of productivity (23 publications), and BJU International was identified as the leading source journal (25 publications). The co-citation and keyword analyses revealed an evolutionary shift from initial feasibility studies and technical descriptions toward research on diversion types, perioperative outcomes, enhanced recovery, learning curves, and comparative effectiveness. Recent burst terms, including ""randomised controlled trial,"" ""mortality,"" ""survival,"" and ""morbidity,"" suggested increasing attention to comparative evaluation and clinically meaningful outcomes, although burst-term findings reflect changes in keyword usage rather than direct evidence of improved study quality. Sensitivity analyses using an abbreviation-free search strategy and more restrictive visualization thresholds showed broadly consistent thematic and source-level patterns. Research on ICUD during RARC has expanded from technical exploration toward increasing attention to procedural standardization, learning curves, comparative evaluation, and clinically meaningful outcomes. Nevertheless, these bibliometric patterns should be interpreted as indicators of research attention rather than direct evidence that surgical standardization has been achieved or that clinical outcomes have improved. The evidence base remains heterogeneous and concentrated in experienced centers. Further multicenter prospective studies with standardized reporting and longer follow-up are needed to clarify the implementation strategy and long-term clinical value of ICUD.",Xu Z; Wang X,"Department of Urology, The Affiliated Taian City Central Hospital of Qingdao University, Taian, 271000, China.",Journal of robotic surgery,2026-08-07,10.1007/s11701-026-03743-5,6.5,"visualization(title,abstract); visual(title,abstract)",Bladder cancer; Learning Curve; Bibliometric Analysis; Robot-assisted Radical Cystectomy; Intracorporeal Urinary Diversion
42550187,Deep learning image reconstruction improves visualization of arterial phase hyperenhancement and washout appearance on dual-energy CT for hepatocellular carcinoma: a non-inferiority study.,"<h4>Purpose</h4>This study aimed to evaluate the clinical value of deep learning image reconstruction (DLIR)-based dual-energy CT (DECT) in improving image quality for hepatocellular carcinoma (HCC).<h4>Methods</h4>This single-center retrospective analysis of a prospective cohort included patients enrolled between June 2024 and July 2025. Virtual monoenergetic images (VMI) at 40, 50, 60, and 74-keV (120 kVp-like) were reconstructed using ASiR-V 50%, DLIR-H (high), and DLIR-M (medium). All combinations of energy levels and reconstruction algorithms were compared using both quantitative metrics standard deviation (SD) of liver and lesion attenuation, signal-to-noise ratio (SNR), and lesion-to-liver contrast ratio (LLR) and semi-quantitative 5-point scores (overall noise, lesion edge sharpness, and conspicuity). The optimal reconstruction combination-derived DECT image was identified and compared with MRI for major HCC features of LI-RADS 2018, including arterial phase hyperenhancement (APHE) and nonperipheral washout appearance.<h4>Results</h4>Each patient yielded 36 image sets across three phases from various combinations of energy levels and algorithms. Quantitative analysis revealed DLIR-H/50-60-keV performed best across all objective metrics (all p < 0.05); with quantitative assessment, DLIR-H/50-keV was determined as the optimal protocol, which showed non-inferiority to MRI for detecting the two major HCC features of LI-RADS 2018.<h4>Conclusion</h4>DLIR significantly enhances low-energy VMI quality and the visualization of major LI-RADS 2018 features in HCC. The DLIR-H/50-keV protocol demonstrates imaging performance approaching MRI standards, representing a promising reconstructive strategy for HCC assessment, particularly in clinical scenarios where MRI access is limited.",Wu B; Cui J; Lei Y; Wan M; Luo Z; Xie Y; Chen J; Cui E,"Department of Radiology, Jiangmen Central Hospital, Jiangmen, China.",Abdominal radiology (New York),2026-08-04,10.1007/s00261-026-05707-7,6.5,"visualization(title,abstract); visual(title,abstract)",Hepatocellular carcinoma; computed tomography; Contrast Agents; Dual Energy; Deep Learning
42169540,Evolutionary landscape and collaborative networks of global theranostic research in nuclear medicine: a visual bibliometric analysis.,"<h4>Background</h4>Theranostics, integrating diagnostic imaging with targeted radionuclide therapy, has become central to nuclear medicine, but its global research landscape and collaboration patterns remain incompletely mapped.<h4>Objective</h4>To characterize publication dynamics, cooperative networks, and emerging topics in theranostic research from 2006 to 2024.<h4>Methods</h4>Articles and reviews indexed in the Web of Science Core Collection were retrieved for bibliometric analysis. Excel, CiteSpace, VOSviewer, Scimago Graphica, ArcGIS, and the R package bibliometrix were used for quantitative analysis and visualization.<h4>Results</h4>A total of 1801 articles and reviews were included, with a compound annual growth rate of 18.7%. The USA, Germany, and China were the leading producer countries, and the USA-Germany collaboration showed the strongest bilateral link strength. The Helmholtz Association, Memorial Sloan Kettering Cancer Center, and the University of California System were the most productive institutions, while Herrmann K., Wester H.J., and Werner R.A. led individual output. Keyword co-occurrence analysis identified five major themes: prostate-specific membrane antigen (PSMA)-targeted imaging and therapy, somatostatin receptor-based peptide therapy, neuroendocrine tumors, alpha-particle therapy, and fibroblast activation protein-targeted probes. Burst detection showed that fibroblast activation protein, actinium-225, and 177 Lu-PSMA-617 have emerged as recent research hotspots.<h4>Conclusion</h4>Theranostic research in nuclear medicine has expanded rapidly over the past two decades, with a trans-Atlantic and Asia-Pacific collaborative pattern. Current frontiers are shifting from beta-emitters toward alpha-emitters and tumor-microenvironment-targeted probes. Greater intercontinental cooperation and continued focus on novel radionuclides and under-explored targets may support future innovation and clinical translation.",Jia YN; Wu Q; Liu PH,"Department of Nuclear Medicine, Xuzhou Central Hospital, Xuzhou, Jiangsu.",Nuclear medicine communications,2026-08-04,10.1097/mnm.0000000000002183,6.1,"visualization(abstract); visual(kw,title,abstract)",bibliometrics; Nuclear Medicine; Theranostics; Visual Analysis; Targeted Radionuclide Therapy
