pmid,title,abstract,authors,first_author_affiliation,journal,pub_date,doi,score,matched_keywords,api_keywords
42347858,Designing oncology-specific patient-reported outcome dashboards: end-user preferences for reference curve inclusion and visualization in pediatric cancer care.,"<h4>Purpose</h4>Patient Reported Outcome Measures PROMs are essential for monitoring health-related quality of life (HRQoL) in pediatric oncology. In the Netherlands, the KLIK PROM portal facilitates structured HRQoL communication between healthcare professionals (HCPs) and families. Currently, HRQoL scores are compared to general population norms. Children with cancer face unique challenges; comparisons with the general population alone may aggravate perceived difficulties and create unnecessary discomfort. An oncology-specific reference would provide appropriate clinical context and improve interpretability. This study evaluated end-user preferences for the inclusion and visualization of such a reference curve within the portal.<h4>Method</h4>Four focus groups with 13 HCPs, 6 patient interviews, and 12 interviews with 15 parents (including three interviews with both parents) were conducted for this qualitative study. Participants discussed preferences for adding and visualizing an oncology-specific reference curve. NVIVO was used to code transcripts and support thematic analysis.<h4>Results</h4>All end-users, except three parents, valued the integration of an oncology-specific reference curve. Three major themes emerged regarding visualization preferences: (1) Normalization: Most participants preferred focusing on normal outcomes, with graphs showing a broad range of - 2 to + 2 SD in a neutral color (e.g. blue).; (2) Deficit-focused framing: end-users opposed overemphasizing deviations (e.g. the potential emotional impact of using traffic light colors); (3) Customization: end-users favored a switch option to tailor curves to patients' needs.<h4>Conclusion</h4>End-users preferred a customizable oncology-specific reference curve enabling fair peer comparison without distressing visuals. Future implementation should focus on training HCPs to support patient-centered communicate of the new dashboard in clinical practice.",Alkirawan R; Schepers SA; van Litsenburg RRL; Grootenhuis MA,"Princess Máxima Center for pediatric oncology, Utrecht, The Netherlands.","Quality of life research : an international journal of quality of life aspects of treatment, care and rehabilitation",2026-06-25,10.1007/s11136-026-04326-5,13.4,"visualization(title,abstract); dashboard(kw,title,abstract); visual(title,abstract)",Parents; Patients; Healthcare Professionals; Patient Reported Outcome Measures (Proms); Dashboard Feedback; Oncology-specific Reference Curve
42330167,Multimodal Data Approaches for Examining the 2024-2025 Highly Pathogenic Avian Influenza Outbreak in the United States: Descriptive Study.,"<h4>Background</h4>Highly pathogenic avian influenza (HPAI) A(H5N1) clade 2.3.4.4b, a globally predominant strain, was introduced into poultry in the United States in 2022 via spillover from wild birds, and has since been regularly reported, posing ongoing risks to animal and human health. In 2024, the United States reported the first known HPAI A(H5N1) clade 2.3.4.4b infection in dairy cattle, rapidly evolving into a multispecies outbreak among cattle and poultry, with spillover into humans. Publicly available data remained siloed and fragmented, hindering timely response. Innovative multimodal surveillance methods can enhance situational awareness through comprehensive, standardized data collection, integration, and visualization.<h4>Objective</h4>This study aimed to describe observations from the application of enhanced surveillance methods that collect, integrate, and visualize multimodal data for real-time tracking of the 2024-2025 HPAI A(H5) outbreak in the United States as an innovative, transparent, repeatable, and scalable approach for open-source public health surveillance.<h4>Methods</h4>Global.health conducted real-time, multimodal surveillance of the United States 2024-2025 HPAI A(H5) outbreak using publicly available data for human cases (Centers for Disease Control and Prevention), animal outbreaks (United States Department of Agriculture), wastewater monitoring (WastewaterSCAN), genomic data (public genomic databases), research updates (scholarly communication), and policy changes and response measures (media and government) for the study period from February 1, 2024 through February 28, 2025. This digital data stream was used to create outbreak resources-an epidemiological linelist, event timeline, and interactive map-using a One Health framework to track emerging hotspots.<h4>Results</h4>Global.health curated 70 confirmed human HPAI A(H5) cases across 13 states in a linelist, with exposure for nearly all (n = 65, 92.9%) cases associated with commercial agriculture and related operations. We curated 682 timeline entries across 6 distinct categories: human, cattle, response (eg, research, policy changes, and public health guidance), birds, genome, wastewater, and mammals. The map integrated human cases (n=70) and animal outbreaks (commercial cattle: n=977 and commercial poultry: n=325) into a single view. California was identified as the outbreak epicenter with high numbers of human cases (n=38, 54.3%), commercial cattle outbreaks (n=748, 76.6%), and commercial poultry outbreaks (n=66, 20.3%) during the study period. Wastewater surveillance detected the virus in California, with an unknown source at least 81 days before the first confirmed commercial dairy cattle case.<h4>Conclusions</h4>Global.health's approach for integrating traditional and nontraditional public health surveillance data within a One Health framework enhanced early situational awareness during the United States 2024-2025 HPAI A(H5) outbreak, creating open access to resources that improve contextual understanding of the scope and evolution of this emerging zoonotic event. Further research should seek to understand the full potential of multimodal data in outbreak surveillance.",Sopko J; Han AR; Powers J; Sauer JA; Avunoori M; Zakrzewski S; Krugman A; Dasgupta A; Sewalk K; Gertz A; Rader B; Sheldon J; Klein B; Rivera JM; Kraemer MUG; Scarpino SV; Brownstein JS,"Computational Epidemiology Lab, Boston Children's Hospital, 401 Park Drive, 7th Floor West, Boston, MA, 02215, United States, 1 617 355 8278.",JMIR public health and surveillance,2026-06-22,10.2196/86209,9.8,"visualization(kw,abstract); visual(kw,abstract); data(kw,title,abstract)",Data analysis; avian influenza; Data Visualization; Public Health Surveillance; One Health; Data Curation; Digital Health; Zoonotic Infectious Diseases; Zoonotic Spillover; Wastewater Surveillance
42343260,Application of 3D Slicer-based three-dimensional visual surgical planning in endoscopic optic canal decompression surgery: a prospective randomised controlled study.,"<h4>Objective</h4>To evaluate the value of three-dimensional visualization preoperative planning based on the open-source software 3D Slicer in endoscopic endonasal optic nerve decompression for traumatic optic neuropathy.<h4>Methods</h4>A prospective randomized controlled study was conducted. A total of 48 patients with traumatic optic neuropathy who underwent endoscopic endonasal optic nerve decompression at the Affiliated Eye Hospital of Nanchang University between January 2023 and June 2025 were enrolled and randomly assigned to an experimental group (3D Slicer-based three-dimensional visualization planning, n = 25) and a control group (conventional two-dimensional CT planning, n = 23). The primary outcome measures included operative time, intraoperative misjudgment rate, complication rate, surgeon's subjective score (5-point Likert scale), and visual improvement at 3 months postoperatively. Continuous data were analyzed using independent-sample t-test or Mann-Whitney U test, and categorical data were analyzed using Fisher's exact test.<h4>Results</h4>There were no statistically significant differences in baseline characteristics or preoperative visual acuity grade between the two groups (P > 0.05). The operative time was significantly shorter in the experimental group than in the control group (129.4 ± 11.6 min vs. 150.7 ± 20.4 min, P < 0.001). Postoperative visual acuity improved significantly compared with preoperative values in both groups (experimental group: P < 0.001; control group: P = 0.003), but the intergroup difference in the grade of visual improvement was not statistically significant (P = 0.439). The intraoperative misjudgment rate was 0% (0/25) in the experimental group and 13.0% (3/23) in the control group, with no statistically significant difference (P = 0.24). The incidence of cerebrospinal fluid leakage was 4.0% (1/25) in the experimental group and 21.7% (5/23) in the control group, and the difference did not reach statistical significance (P = 0.08). The surgeon's subjective score was significantly higher in the experimental group than in the control group [5 (5,5) vs. 4 (4,4), P < 0.001]. No severe complications such as major vessel injury or direct optic nerve injury occurred in either group.<h4>Conclusion</h4>Three-dimensional visualization preoperative planning based on 3D Slicer can significantly shorten the operative time of endoscopic endonasal optic nerve decompression, enhance the surgeon's confidence, and a potential reduction in cerebrospinal fluid leakage that warrants further investigation. This approach is low-cost, highly generalizable, and has good clinical application value.",Jin Q; Long Q; Yu J; Hu G; Liu Y; Gan P; Ren Z; Liao H,"School of Optometry, Jiangxi Medical College, Nanchang University, No. 463 Bayi Avenue, Donghu District, Nanchang City, Jiangxi Province, 330006, China.",BMC medical imaging,2026-06-25,10.1186/s12880-026-02513-x,9.6,"visualization(kw,abstract); visual(kw,title,abstract); data(abstract)",Randomized Controlled Study; Three-dimensional Visualization; Traumatic Optic Neuropathy; 3D Slicer; Endoscopic Endonasal Optic Nerve Decompression
42348711,Artificial intelligence-augmented robotic surgery in gynecologic oncology: intraoperative assistance and analytics.,"<h4>Purpose of review</h4>Artificial intelligence (AI) is increasingly integrated into robotic-assisted surgery, transforming digital surgical platforms into data-driven environments capable of supporting intraoperative decision-making. In gynecologic oncology, where procedures require high precision and follow relatively standardized workflows, AI technologies may improve surgical quality, reduce variability, and enable safer surgical treatment strategies. This review summarizes recent advances in AI-augmented robotic-assisted surgery, focusing on intraoperative guidance, surgical analytics, and predictive decision support.<h4>Recent findings</h4>Recent literature demonstrates rapid progress in computer vision models capable of recognizing surgical phases, anatomical landmarks, and procedural steps in real time. Integration of augmented reality, fluorescence imaging, and multimodal imaging platforms is enhancing intraoperative visualization and anatomical orientation. Surgical data science approaches enable objective assessment of technical performance through video-based metrics and machine learning algorithms. Predictive analytics models integrating clinical and imaging data show promising results for risk stratification and outcome prediction, although most applications remain in early stages of validation.<h4>Summary</h4>AI-augmented robotic surgery has the potential to improve precision, standardization, and decision-making in gynecologic oncology. However, clinical implementation requires prospective validation, standardized datasets, and integration into routine workflows. Future developments will likely focus on multimodal data integration and context-aware decision support systems.",Gracia M; Espias-Alonso M; Zapardiel I,"Gynecologic Oncology Department. La Paz University Hospital, Madrid, Spain.",Current opinion in oncology,2026-06-26,10.1097/cco.0000000000001256,8.6,"visualization(abstract); visual(abstract); artificial intelligence(kw,title,abstract); machine learning(abstract); data(abstract)",Artificial intelligence; Gynecologic Cancer; Image-guided Surgery; Robotic-assisted Surgery
42331954,IUM-hybrid model for enhanced CAD diagnosis using deep learning and VS Grad-CAM visualization.,"Coronary artery disease(CAD) is a serious health issue worldwide. Early identification of CAD is used to prevent several complications, such as myocardial infarction and unexpected death. In existing studies, InceptionV3 is computationally intensive and struggles with long-range dependencies, whereas MobileNetV2 faces challenges in extracting intricate features from medical-image data. Similarly, U-NetR, despite its transformer-based encoding, requires large datasets for optimal performance and is computationally expensive because of its self-attention mechanism. To overcome these limitations, this study focuses on merging InceptionV3, U-NetR, and MobileNetV2 to enhance CAD classification performance. This approach involves utilizing pre-trained models and fine-tuning them using an angiographic dataset. The hybrid IUM model incorporates dynamic weighting to maximize prediction accuracy. Furthermore, this study employed VS Grad-CAM visualization to elucidate the classifier decisions using precise heatmaps, thereby improving interpretability. This method achieved exceptional diagnostic metrics: 0.97 accuracy, 0.99 F1-score, 0.98 specificity, and 0.97 sensitivity. This novel approach enhances diagnostic precision, minimizes manual errors, and facilitates real-time applications, making it a scalable and efficient solution for clinical application. Its prompt and accurate identification of CAD has the potential to enhance patient outcomes and optimize healthcare.",Revathi CK; Santhi H,"Full-time research scholar, School of Computer Science and Engineering, Vellore Institute of Technology, Vellore, 632014, Tamil Nadu, India.",Scientific reports,2026-06-22,10.1038/s41598-026-57536-9,7.0,"visualization(title,abstract); visual(title,abstract); data(abstract)",CAD; Inception V3; Vs Grad-cam; Ium Hybrid Model; Mobile-netv2; U-netr
42363567,Detection of Non-Displaced Dentoalveolar Fractures Using CBCT: Influence of Visualization Techniques on Diagnostic Accuracy and Observer Workflow. ,"To evaluate the diagnostic accuracy of cone-beam computed tomography (CBCT) visualization techniques in detecting clinically relevant non-displaced dentoalveolar fractures and to assess their impact on observer efficiency during trauma evaluation. Non-displaced alveolar fractures were experimentally induced in 15 fresh sheep heads under standardized conditions to simulate clinically relevant dentoalveolar trauma. CBCT imaging was performed using a standardized acquisition protocol, and four visualization techniques were generated using fixed display parameters. Fracture presence was confirmed by an independent oral and maxillofacial radiologist and served as the reference standard. Five blinded dentists evaluated datasets in two sessions separated by a 3-week washout interval. Diagnostic performance was assessed using ROC analysis with pairwise comparisons using the DeLong method. Multiplanar reconstruction demonstrated the highest diagnostic accuracy (AUC = 0.87), followed by volume rendering (0.75), surface rendering (0.73), and maximum intensity projection (0.70). Inter- and intra-observer agreements were substantial to almost perfect (κ = 0.78 and κ = 0.85, respectively). Multiplanar reconstruction required significantly shorter evaluation time and lower user interaction compared with volume rendering and surface rendering (p < 0.05). The selection of CBCT visualization techniques significantly influences diagnostic confidence and observer workflow efficiency in dentoalveolar trauma assessment. Multiplanar reconstruction provided the most favorable balance between diagnostic accuracy and efficiency, supporting its use in time-sensitive clinical trauma evaluation.",Taşyapan SA; Az ZAA,"Faculty of Dentistry, Department of Oral and Maxillofacial Radiology, Istanbul University, Istanbul, Türkiye.",Dental traumatology : official publication of International Association for Dental Traumatology,2026-06-26,10.1111/edt.70092,7.0,"visualization(title,abstract); visual(title,abstract); data(abstract)",
42332308,Deep learning for intraoperative recognition of critical structures in total hysterectomy.,"<h4>Background</h4>This study aimed to develop and evaluate a deep learning-based surgical navigation system capable of recognizing the ureter, uterine artery, and bladder-uterine dissection plane during minimally invasive gynecologic surgery.<h4>Methods</h4>An artificial intelligence (AI) model was developed at the University of Tokyo Hospital using videos of prior surgeries. Surgical videos of 27 laparoscopic or robot-assisted total hysterectomies were used to create training and validation datasets, with an additional set of cases serving as an independent test set. Key frames were manually annotated to train segmentation models for the ureter and uterine artery. A separate model visualized loose connective tissue fibers (LCTF) to aid in recognizing the bladder-uterine peritoneal dissection plane. Quantitative performance was assessed using standard segmentation metrics, and a qualitative evaluation was conducted by nine gynecologic surgeons using predefined scoring criteria.<h4>Results</h4>The segmentation models achieved moderate quantitative performance, with Dice similarity coefficients of approximately 0.51 for the ureter and 0.45 for the uterine artery. In contrast, qualitative evaluation demonstrated favorable clinical interpretability. The mean recognition scores assigned by nine expert surgeons were 4.12 for the ureter and 3.45 for the uterine artery on a five-point scale, indicating that most structures were recognized clearly with only minor misrecognition. For bladder dissection, visualization of connective tissue fibers enabled identification of the correct dissection plane in the majority of evaluated frames; more than 70-80% of connective tissue was recognizable in most frames, and substantial misrecognition was uncommon.<h4>Conclusion</h4>This study demonstrates that a deep learning-based system can recognize three key elements of a total hysterectomy: the ureter, the uterine artery, and the bladder-uterine dissection plane. Despite modest quantitative metrics, qualitative assessments indicated strong clinical utility. These findings establish a foundation for an integrated AI-assisted surgical navigation platform to enhance the safety and standardization of minimally invasive gynecologic surgery.",Jonouchi Y; Tanimoto S; Sone K; Toyohara Y; Yamaguchi K; Kawata Y; Honjoh H; Fukuda T; Taguchi A; Miyamoto Y; Iriyama T; Mori-Uchino M; Otani Y; Miyagawa R; Wada-Hiraike O; Oda K; Harada M; Osuga Y; Hirota Y,"Department of Obstetrics and Gynecology, Graduate School of Medicine, The University of Tokyo, Tokyo, Japan.",Surgical endoscopy,2026-06-22,10.1007/s00464-026-12917-z,6.0,"visualization(abstract); visual(abstract); artificial intelligence(kw,abstract); data(abstract)","Artificial intelligence; hysterectomy; Deep Learning; Ureter, Uterine Artery"
42337637,Bibliometric analysis of research hotspots in coronary artery CT fractional flow reserve for diagnosing myocardial ischemia in coronary artery disease.,"<h4>Objective</h4>This study aimed to conduct a comprehensive bibliometric analysis to map the global research landscape, identify evolving hotspots, and forecast future trends in the application of coronary computed tomography-derived fractional flow reserve (CT-FFR) for diagnosing myocardial ischemia in coronary artery disease (CAD).<h4>Methods</h4>A systematic literature search was performed in the Web of Science Core Collection for publications from 2015 to 2025, using an expanded strategy combining CT-FFR terms with synonyms for myocardial ischemia and CAD. Bibliometric data visualization and analysis were conducted using CiteSpace and VOSviewer to examine publication trends, national/institutional contributions, collaborative networks, core journals, keyword co-occurrence, and citation bursts.<h4>Results</h4>From an initial retrieval of 730 records, 582 eligible publications (405 articles, 117 reviews) were included. Annual publication output showed sustained growth with a compound annual growth rate (CAGR) of 6.4%. The United States led in publication volume (n = 231) and total citations, followed by China in output (n = 143), though with lower average citation impact. International collaboration was prominent, with the US, China, and Italy forming central hubs. JACC: Cardiovascular Imaging was the leading journal in both output and influence. Keyword analysis confirmed ""Fractional Flow Reserve,"" ""Coronary Artery Disease,"" and ""Diagnostic Performance"" as core themes. Burst detection revealed a clear evolution: early research (2015-2018) focused on technical validation (e.g., ""dual source ct""), while recent trends (2022-2025) shifted towards clinical integration, with strong bursts for ""stable chest pain,"" ""diagnosis,"" and ""coronary computed tomography angiography.""<h4>Conclusion</h4>This bibliometric analysis delineates a dynamic and growing CT-FFR research field, marked by a transition from technological exploration to clinical guideline-directed application. The findings highlight distinct geographic patterns of productivity and influence, and clarify the evolution of research priorities towards personalized, ischemia-guided patient management. Future research is anticipated to focus on multimodal integration with plaque and perfusion imaging, artificial intelligence-driven workflow solutions, and evidence generation in complex patient cohorts to solidify clinical adoption.",Abudoueryimu A; Xirefu A; Maihemuti Z; Mahemuti M; Qiaohui C; Keremu G; Xiaomei W; Haihong MA,"Kashi Prefecture Second People's Hospital, No. 1, JianKang Road, Kashi, 844000, Xinjiang, China.",Journal of cardiothoracic surgery,2026-06-23,10.1186/s13019-026-04411-3,6.0,"visualization(abstract); visual(kw,abstract); artificial intelligence(abstract); data(abstract)",Myocardial ischemia; Coronary Heart Disease; Bibliometry; Visual Analysis; Ct-ffr
42120198,Digitising controlled substance accountability: implementation and use of a dashboard-based monitoring system in an university hospital.,"<h4>Objectives</h4>Opioids are the cornerstone of severe pain management but they have a strong potential for abuse. To mitigate this risk, hospitals are required to track and account for these controlled substances (CS). Despite widespread adoption of electronic medication administration records (eMAR), nurses also performed paper-based registrations for CS. We hypothesised that a validated dashboard combining dispensing and eMAR data could be implemented for CS accountability. This study describes trends in accountability of dispenses through administrations before, during and after implementation of the dashboard that replaced the paper-based process. Furthermore, we describe its application in analysing signalled discrepancies.<h4>Methods</h4>This implementation study was performed in a university hospital. The dashboard was developed by a multidisciplinary team consisting of hospital pharmacists, pharmacy technicians, nurses and data analysts. Data from 2018 to 2024 were compared in three periods: prior implementation (2018-2019), during implementation (2020-2022) and after implementation (2023-2024) of the dashboard. Monitored CS medications were limited to oral solids. The data for dispenses and administrations were validated against the electronic health record (EHR) and electronic delta calculations were manually recalculated. The dashboard was piloted on a single ward by shadow running the dashboard for 6 months. Processes were optimised before hospital-wide implementation.<h4>Results</h4>The dispense and administration data in the dashboard accurately reflected the registrations in the EHR and all predefined validation criteria were met. Subsequently, the paper process for accounting for CS was successfully digitised, allowing nurses to discontinue the double registration workflow. The CS accountability showed a slight upward trend from 88% prior to implementation to 91% after implementation. Furthermore, use of the dashboard resulted in a more efficient workflow and facilitated evaluation between the pharmacy and the wards, contributing to optimisation of prescribing, administration and the logistical processes.<h4>Conclusions</h4>The dashboard provided an accurate and reliable reflection of CS-related dispenses and administrations documented in the EHR, supporting its hospital-wide implementation for CS monitoring. The CS accountability dashboard reduced the administrative workload for nurses and the pharmacy and improved traceability.",Botma FE; Wilkes S; Abdulla A; van der Kuy PHM; Nijstad AL; Crombag MBS,"Pharmacy, Erasmus Medical Centre, Rotterdam, The Netherlands f.botma@erasmusmc.nl.",European journal of hospital pharmacy : science and practice,2026-06-23,10.1136/ejhpharm-2025-004735,5.9,"dashboard(title,abstract); data(abstract); electronic health record(abstract)","Organization And Administration; Pain Management; Practice Guideline; Pharmacy Service, Hospital; Medication Systems, Hospital"
42333648,Monitoring and feedback using data in transfusion medicine: A study of practices from the BEST Collaborative.,"<h4>Background</h4>It is imperative that health systems monitor transfusion practice quality and implement improvements when evidence-based practice gaps are identified. Despite the importance of data-driven quality activities, little is known about approaches employed by hospitals. This study aimed to describe strategies used by hospitals to acquire, analyze, and apply transfusion-related quality data.<h4>Study design and methods</h4>A pre-piloted survey was developed by the core team, and Biomedical Excellence for Safer Transfusion (BEST) Collaborative attendees of meetings were invited to participate. Topics spanned five domains: hospital characteristics, data acquisition, quality metric prioritization, data analysis/visualization, and feedback processes. Responses were summarized to identify patterns and variation across institutions.<h4>Results</h4>Nine hospitals of varying size, specialty mix, and transfusion volumes from three continents participated. Most transfusion services acquired transfusion data from both the electronic health record and the laboratory information system (6/9, 67%). Although all sites tracked the number of transfusions, there was wide variation in other metrics prioritized. Transfusion appropriateness was prioritized by 7 of 9 centers, but few reported monitoring antifibrinolytic agent use (2/9, 22%), anemia management (4/9, 44%), and consent (2/9, 22%). All hospitals performed some form of data analysis, but chart/table types and functionalities differed. Feedback was typically provided by transfusion medicine specialists or hematology, but frequency and means differed between sites.<h4>Discussion</h4>This descriptive study highlights significant variation in how selected hospitals use data to monitor transfusion practices and provide feedback. There are many opportunities to enhance optimal uses of data to deliver effective quality improvement.",Metcalf RA; Mo A; White SK; Duarte GC; Dunbar NM; Hands K; Panigrahi AK; Poisson JL; Saifee NH; Shan H; Wood EM; Murphy MF; Stanworth SJ,"Department of Pathology, University of Utah, Salt Lake City, Utah, USA.",Transfusion,2026-06-22,10.1111/trf.70316,5.3,"visualization(abstract); visual(abstract); data(title,abstract); electronic health record(abstract)",
